ID1	ID2	Type
LARP7	HNRNPK	co-expression
LARP7	MBD4	co-expression
LARP7	MPHOSPH10	co-expression
LARP7	NFYB	co-expression
LARP7	PPIG	co-expression
LARP7	PPIL4	co-expression
LARP7	PRPF18	co-expression
LARP7	PTBP3	co-expression
LARP7	RAD17	co-expression
LARP7	RBM27	co-expression
LARP7	RPAP3	co-expression
LARP7	SDAD1	co-expression
LARP7	SMARCA5	co-expression
LARP7	SMC5	co-expression
LARP7	SMIM15	co-expression
LARP7	SSB	co-expression
LARP7	STXBP3	co-expression
LARP7	SUZ12	co-expression
LARP7	U2SURP	co-expression
LARP7	UBXN4	co-expression
LARP7	USP16	co-expression
LARP4	ACTR2	co-expression
LARP4	AGPS	co-expression
LARP4	ATP13A3	co-expression
LARP4	BCLAF1	co-expression
LARP4	C2ORF69	co-expression
LARP4	CCNT1	co-expression
LARP4	CDC27	co-expression
LARP4	CEP120	co-expression
LARP4	CHD1	co-expression
LARP4	CUL5	co-expression
LARP4	DCP2	co-expression
LARP4	G3BP1	co-expression
LARP4	GABPA	co-expression
LARP4	GPBP1	co-expression
LARP4	KRR1	co-expression
LARP4	LRRC58	co-expression
LARP4	NAA25	co-expression
LARP4	NEDD1	co-expression
LARP4	NHLRC2	co-expression
LARP4	NUS1	co-expression
LARP4	OSBPL8	co-expression
LARP4	PDS5A	co-expression
LARP4	PHF6	co-expression
LARP4	PIK3C2A	co-expression
LARP4	PPP4R2	co-expression
LARP4	PRPF40A	co-expression
LARP4	PTBP3	co-expression
LARP4	PUS7L	co-expression
LARP4	RBM27	co-expression
LARP4	RIF1	co-expression
LARP4	RSRC2	co-expression
LARP4	SCAF11	co-expression
LARP4	SCYL2	co-expression
LARP4	SEC23IP	co-expression
LARP4	SENP6	co-expression
LARP4	SHOC2	co-expression
LARP4	SLC38A1	co-expression
LARP4	SMC4	co-expression
LARP4	SMC5	co-expression
LARP4	SUZ12	co-expression
LARP4	TBK1	co-expression
LARP4	TNPO1	co-expression
LARP4	U2SURP	co-expression
LARP4	UBA5	co-expression
LARP4	UBA6	co-expression
LARP4	UBE3A	co-expression
LARP4	UBXN4	co-expression
LARP4	UHMK1	co-expression
LARP4	USP16	co-expression
LARP4	WDR36	co-expression
LARP4	XPO1	co-expression
STRN	TNKS2	direct
STRN	ACTR2	co-expression
STRN	AFTPH	co-expression
STRN	ASXL2	co-expression
STRN	ATAD2B	co-expression
STRN	ATP13A3	co-expression
STRN	BCLAF1	co-expression
STRN	CEBPZ	co-expression
STRN	CHD9	co-expression
STRN	CWC22	co-expression
STRN	DDX3X	co-expression
STRN	DLG1	co-expression
STRN	DYNC1LI2	co-expression
STRN	FBXO11	co-expression
STRN	ITSN2	co-expression
STRN	JMJD1C	co-expression
STRN	LATS1	co-expression
STRN	LRRC58	co-expression
STRN	MAP3K2	co-expression
STRN	MKLN1	co-expression
STRN	NCKAP1	co-expression
STRN	OPA1	co-expression
STRN	PIK3C2A	co-expression
STRN	PIK3CA	co-expression
STRN	PPIG	co-expression
STRN	PRPF40A	co-expression
STRN	PUM2	co-expression
STRN	RANBP2	co-expression
STRN	RBAK	co-expression
STRN	REST	co-expression
STRN	RICTOR	co-expression
STRN	RIF1	co-expression
STRN	SCAF11	co-expression
STRN	SDAD1	co-expression
STRN	SMC5	co-expression
STRN	SMC6	co-expression
STRN	SOS1	co-expression
STRN	SP3	co-expression
STRN	SPAST	co-expression
STRN	SPOPL	co-expression
STRN	TLK1	co-expression
STRN	TMF1	co-expression
STRN	TOP2B	co-expression
STRN	U2SURP	co-expression
STRN	UBR3	co-expression
STRN	UBXN4	co-expression
STRN	XPO1	co-expression
STRN	ZNF148	co-expression
STRN	ZNF326	co-expression
STRN	ZNF507	co-expression
STRN	ZNF518A	co-expression
STRN	ZNF800	co-expression
FXYD6	AOC3	co-expression
FXYD6	DPYSL3	co-expression
FXYD6	LMOD1	co-expression
FXYD6	MAP1A	co-expression
FXYD6	PRELP	co-expression
FXYD6	PTGER3	co-expression
FXYD6	ELN	co-expression
DZIP1	PPP1R18	direct
DZIP1	A2M	co-expression
DZIP1	AKT3	co-expression
DZIP1	AMOTL1	co-expression
DZIP1	ANTXR1	co-expression
DZIP1	AOC3	co-expression
DZIP1	ARHGEF25	co-expression
DZIP1	ATP8B2	co-expression
DZIP1	C14ORF132	co-expression
DZIP1	C1S	co-expression
DZIP1	CALD1	co-expression
DZIP1	CCDC8	co-expression
DZIP1	CCDC80	co-expression
DZIP1	CD93	co-expression
DZIP1	CDH11	co-expression
DZIP1	CDK14	co-expression
DZIP1	CLMP	co-expression
DZIP1	CNTN4	co-expression
DZIP1	COL14A1	co-expression
DZIP1	COL5A2	co-expression
DZIP1	COL6A3	co-expression
DZIP1	COL8A1	co-expression
DZIP1	COL8A2	co-expression
DZIP1	CRISPLD2	co-expression
DZIP1	DCN	co-expression
DZIP1	DDR2	co-expression
DZIP1	DLC1	co-expression
DZIP1	DPYSL3	co-expression
DZIP1	EBF1	co-expression
DZIP1	ECM2	co-expression
DZIP1	EFEMP1	co-expression
DZIP1	ENTPD1	co-expression
DZIP1	EVC	co-expression
DZIP1	EVC2	co-expression
DZIP1	FAM110B	co-expression
DZIP1	FAT4	co-expression
DZIP1	FBN1	co-expression
DZIP1	FBXL7	co-expression
DZIP1	FERMT2	co-expression
DZIP1	FGF1	co-expression
DZIP1	FILIP1L	co-expression
DZIP1	FLRT2	co-expression
DZIP1	FNDC1	co-expression
DZIP1	FRMD6	co-expression
DZIP1	FSTL1	co-expression
DZIP1	GAS7	co-expression
DZIP1	GJC1	co-expression
DZIP1	GLI3	co-expression
DZIP1	GLT8D2	co-expression
DZIP1	GNB4	co-expression
DZIP1	GPC6	co-expression
DZIP1	GREM1	co-expression
DZIP1	HEG1	co-expression
DZIP1	HMCN1	co-expression
DZIP1	IGFBP5	co-expression
DZIP1	IL1R1	co-expression
DZIP1	JAM3	co-expression
DZIP1	KCNE4	co-expression
DZIP1	LAMA4	co-expression
DZIP1	LDB2	co-expression
DZIP1	LTBP2	co-expression
DZIP1	LUM	co-expression
DZIP1	MAF	co-expression
DZIP1	MAP1A	co-expression
DZIP1	MAP1B	co-expression
DZIP1	MCC	co-expression
DZIP1	MEIS1	co-expression
DZIP1	MOXD1	co-expression
DZIP1	MPDZ	co-expression
DZIP1	MSRB3	co-expression
DZIP1	MYLK	co-expression
DZIP1	MYO5A	co-expression
DZIP1	NUAK1	co-expression
DZIP1	OLFML1	co-expression
DZIP1	OSMR	co-expression
DZIP1	PCDH7	co-expression
DZIP1	PKD2	co-expression
DZIP1	PREX2	co-expression
DZIP1	PTGER3	co-expression
DZIP1	PTPRM	co-expression
DZIP1	QKI	co-expression
DZIP1	RAB31	co-expression
DZIP1	RASSF8	co-expression
DZIP1	RBMS3	co-expression
DZIP1	RECK	co-expression
DZIP1	RFTN1	co-expression
DZIP1	RHOJ	co-expression
DZIP1	RUNX1T1	co-expression
DZIP1	S1PR1	co-expression
DZIP1	SDC2	co-expression
DZIP1	SERPINF1	co-expression
DZIP1	SGCD	co-expression
DZIP1	SHE	co-expression
DZIP1	SPARCL1	co-expression
DZIP1	STON1	co-expression
DZIP1	SYT11	co-expression
DZIP1	TCF4	co-expression
DZIP1	TEK	co-expression
DZIP1	TENM4	co-expression
DZIP1	TIMP2	co-expression
DZIP1	TMEM200B	co-expression
DZIP1	TSHZ3	co-expression
DZIP1	TSPYL5	co-expression
DZIP1	VCAN	co-expression
DZIP1	VIM	co-expression
DZIP1	VSTM4	co-expression
DZIP1	ZEB1	co-expression
DZIP1	ZEB2	co-expression
DZIP1	ZNF521	co-expression
DZIP1	S1PR3	co-expression
DZIP1	SNAI2	co-expression
DZIP1	SSC5D	co-expression
DZIP1	THBD	co-expression
DZIP1	CNTNAP1	co-expression
DZIP1	COL3A1	co-expression
DZIP1	MFAP4	co-expression
DZIP1	PDGFRB	co-expression
ZNF44	ZNF224	co-expression
ZNF48	PRPF31	direct
SHE	FHL3	direct
SHE	ATP8B2	co-expression
SHE	CD34	co-expression
SHE	CD93	co-expression
SHE	CLEC14A	co-expression
SHE	JAM3	co-expression
SHE	LYVE1	co-expression
SHE	LZTS1	co-expression
SHE	MMRN2	co-expression
SHE	RHOJ	co-expression
SHE	S1PR1	co-expression
SHE	STARD8	co-expression
SHE	TAL1	co-expression
SHE	A2M	co-expression
SHE	ADAMTS1	co-expression
SHE	RUNX1T1	co-expression
SHE	ERG	co-expression
SHE	FAM107A	co-expression
SHE	AKT3	co-expression
SHE	ANK2	co-expression
SHE	ARHGAP31	co-expression
SHE	BCL6B	co-expression
SHE	CALCRL	co-expression
SHE	COL14A1	co-expression
SHE	CRISPLD2	co-expression
SHE	CXCL12	co-expression
SHE	CYYR1	co-expression
SHE	DLC1	co-expression
SHE	EBF1	co-expression
SHE	ENTPD1	co-expression
SHE	FILIP1	co-expression
SHE	FLRT2	co-expression
SHE	GNB4	co-expression
SHE	HEG1	co-expression
SHE	ITPR1	co-expression
SHE	JAM2	co-expression
SHE	LDB2	co-expression
SHE	MAF	co-expression
SHE	MAP1B	co-expression
SHE	MEF2C	co-expression
SHE	MOXD1	co-expression
SHE	MPDZ	co-expression
SHE	MYCT1	co-expression
SHE	MYO5A	co-expression
SHE	OLFML1	co-expression
SHE	OSMR	co-expression
SHE	PALMD	co-expression
SHE	PCDH17	co-expression
SHE	PECAM1	co-expression
SHE	PREX2	co-expression
SHE	RBMS3	co-expression
SHE	SPARCL1	co-expression
SHE	SYT11	co-expression
SHE	TCF4	co-expression
SHE	TEK	co-expression
SHE	TNXB	co-expression
SHE	ZEB2	co-expression
SHE	FLI1	co-expression
MMP25	MYO1G	co-expression
MMP25	NCF1	co-expression
MMP25	RASAL3	co-expression
BGN	ADAMTS2	co-expression
BGN	AEBP1	co-expression
BGN	ANGPTL2	co-expression
BGN	ARSI	co-expression
BGN	C1R	co-expression
BGN	C3ORF80	co-expression
BGN	CCDC8	co-expression
BGN	CCDC80	co-expression
BGN	CD248	co-expression
BGN	CERCAM	co-expression
BGN	CMTM3	co-expression
BGN	COL15A1	co-expression
BGN	COL3A1	co-expression
BGN	COL5A1	co-expression
BGN	COL6A1	co-expression
BGN	COL6A2	co-expression
BGN	COL6A3	co-expression
BGN	COL8A2	co-expression
BGN	COPZ2	co-expression
BGN	CPXM1	co-expression
BGN	DKK3	co-expression
BGN	EFEMP2	co-expression
BGN	EFS	co-expression
BGN	EHD2	co-expression
BGN	EMILIN1	co-expression
BGN	EVC	co-expression
BGN	FAM20C	co-expression
BGN	FBLN2	co-expression
BGN	FBN1	co-expression
BGN	FBXL7	co-expression
BGN	FNDC1	co-expression
BGN	GAS1	co-expression
BGN	GFPT2	co-expression
BGN	GGT5	co-expression
BGN	GLI3	co-expression
BGN	GLIS2	co-expression
BGN	GPR68	co-expression
BGN	HHIPL1	co-expression
BGN	HLX	co-expression
BGN	HTRA1	co-expression
BGN	HTRA3	co-expression
BGN	ISLR	co-expression
BGN	ITGA11	co-expression
BGN	ITGA5	co-expression
BGN	LOXL2	co-expression
BGN	LZTS1	co-expression
BGN	MEIS3	co-expression
BGN	MFGE8	co-expression
BGN	MMP19	co-expression
BGN	MRAS	co-expression
BGN	MRC2	co-expression
BGN	MSC	co-expression
BGN	MXRA8	co-expression
BGN	OLFML2B	co-expression
BGN	P4HA3	co-expression
BGN	PCOLCE	co-expression
BGN	PDGFRB	co-expression
BGN	PXDN	co-expression
BGN	RAB34	co-expression
BGN	RCN3	co-expression
BGN	RFTN1	co-expression
BGN	SCARF2	co-expression
BGN	SERPINF1	co-expression
BGN	SERPING1	co-expression
BGN	SPARC	co-expression
BGN	SPON2	co-expression
BGN	SSC5D	co-expression
BGN	SYDE1	co-expression
BGN	SYNDIG1	co-expression
BGN	TGFB3	co-expression
BGN	THBS2	co-expression
BGN	THY1	co-expression
BGN	TIE1	co-expression
BGN	TIMP2	co-expression
BGN	VEGFC	co-expression
BGN	VIM	co-expression
BGN	VSTM4	co-expression
BGN	ZNF469	co-expression
BGN	ADAM12	co-expression
BGN	KCNE4	co-expression
BGN	SFRP4	co-expression
MMP11	HTRA3	co-expression
MMP11	ISLR	co-expression
MMP14	FHL3	direct
MMP14	TIMP2	direct
MMP14	ADAMTS2	co-expression
MMP14	ADAMTS4	co-expression
MMP14	AEBP1	co-expression
MMP14	ANGPTL2	co-expression
MMP14	ARSI	co-expression
MMP14	CCDC8	co-expression
MMP14	COL3A1	co-expression
