miRNA	Gene	Input
hsa-let-7e-5p	SMARCAD1	-1
hsa-let-7e-5p	SMC1A	-1
hsa-let-7e-5p	STX3	-1
hsa-let-7e-5p	TRIM71	-1
hsa-let-7e-5p	YOD1	-1
hsa-let-7e-5p	ZBTB5	-1
hsa-let-7e-5p	ZNF644	-1
hsa-let-7f-1-3p	ACVR2B	-1
hsa-let-7f-1-3p	ARAP2	-1
hsa-let-7f-1-3p	DLX2	-1
hsa-let-7f-1-3p	RBM12B	-1
hsa-let-7f-1-3p	ZNF800	-1
hsa-let-7f-2-3p	HOXA9	-1
hsa-let-7f-2-3p	MOB4	-1
hsa-let-7f-2-3p	RBM12B	-1
hsa-let-7f-2-3p	RORA	-1
hsa-let-7f-2-3p	SET	-1
hsa-let-7f-2-3p	ZFX	-1
hsa-let-7f-5p	ARID3B	-1
hsa-let-7f-5p	BACH1	-1
hsa-let-7f-5p	CBX5	-1
hsa-let-7f-5p	COIL	-1
hsa-let-7f-5p	FIGN	-1
hsa-let-7f-5p	GATM	-1
hsa-let-7f-5p	GNG5	-1
hsa-let-7f-5p	HMGA2	-1
hsa-let-7f-5p	IGF1R	-1
hsa-let-7f-5p	IGF2BP1	-1
hsa-let-7f-5p	LRIG3	-1
hsa-let-7f-5p	NAP1L1	-1
hsa-let-7f-5p	NR6A1	-1
hsa-let-7f-5p	PGRMC1	-1
hsa-let-7f-5p	PPP1R15B	-1
hsa-let-7f-5p	SLC10A7	-1
hsa-let-7f-5p	SMARCAD1	-1
hsa-let-7f-5p	STX3	-1
hsa-let-7f-5p	TRIM71	-1
hsa-let-7f-5p	YOD1	-1
hsa-let-7f-5p	ZBTB5	-1
hsa-let-7f-5p	ZNF644	-1
hsa-let-7g-3p	ANP32B	-1
hsa-let-7g-3p	BACH2	-1
hsa-let-7g-3p	FBXL3	-1
hsa-let-7g-3p	HAT1	-1
hsa-let-7g-3p	RAB5C	-1
hsa-let-7g-3p	RBM27	-1
hsa-let-7g-5p	ARID3B	-1
hsa-let-7g-5p	BACH1	-1
hsa-let-7g-5p	CBX5	-1
hsa-let-7g-5p	COIL	-1
hsa-let-7g-5p	FIGN	-1
hsa-let-7g-5p	GATM	-1
hsa-let-7g-5p	GNG5	-1
hsa-let-7g-5p	HMGA2	-1
hsa-let-7g-5p	IGF1R	-1
