Protein	Protein	Input
DAZL	DAZ1	1
PUM2	DAZ1	1
ATXN1	DAZ2	1
SEPTIN2	DAZAP2	1
ACOT7	DAZAP2	1
AES	DAZAP2	1
AOC1	DAZAP2	1
ATXN1	DAZAP2	1
BAG3	DAZAP2	1
BATF2	DAZAP2	1
BHLHE40	DAZAP2	1
C1orf94	DAZAP2	1
CALCOCO2	DAZAP2	1
CAMK2A	DAZAP2	1
CAPN15	DAZAP2	1
CCDC120	DAZAP2	1
CELF5	DAZAP2	1
CELF6	DAZAP2	1
CFAP36	DAZAP2	1
CLASRP	DAZAP2	1
DAB1	DAZAP2	1
DAZAP2	DAZAP2	1
DCUN1D1	DAZAP2	1
DESI1	DAZAP2	1
DTX2	DAZAP2	1
EPN1	DAZAP2	1
EPN2	DAZAP2	1
EPN3	DAZAP2	1
ESRP1	DAZAP2	1
FAM103A1	DAZAP2	1
FAM168A	DAZAP2	1
FAM46B	DAZAP2	1
FAM83A	DAZAP2	1
FOXH1	DAZAP2	1
GGA3	DAZAP2	1
GPS2	DAZAP2	1
GPSM1	DAZAP2	1
HEMK1	DAZAP2	1
HEY1	DAZAP2	1
HIP1	DAZAP2	1
HSFY1	DAZAP2	1
HSFY2	DAZAP2	1
ISX	DAZAP2	1
KLHL42	DAZAP2	1
LASP1	DAZAP2	1
LGALS9	DAZAP2	1
LMO2	DAZAP2	1
MAGED1	DAZAP2	1
MAPK1IP1L	DAZAP2	1
MINDY1	DAZAP2	1
MINDY3	DAZAP2	1
MTURN	DAZAP2	1
MYEOV	DAZAP2	1
MYOZ3	DAZAP2	1
NAF1	DAZAP2	1
NDUFA5	DAZAP2	1
NEDD4L	DAZAP2	1
OPTN	DAZAP2	1
OTUB2	DAZAP2	1
OTULIN	DAZAP2	1
PATZ1	DAZAP2	1
PDIK1L	DAZAP2	1
PEF1	DAZAP2	1
PITX2	DAZAP2	1
PLEKHB2	DAZAP2	1
PLEKHF2	DAZAP2	1
PLSCR4	DAZAP2	1
POGZ	DAZAP2	1
POLI	DAZAP2	1
PROP1	DAZAP2	1
PRR34	DAZAP2	1
RABGEF1	DAZAP2	1
RAD18	DAZAP2	1
RAD23A	DAZAP2	1
RBFOX1	DAZAP2	1
RBFOX2	DAZAP2	1
RBM24	DAZAP2	1
RBPMS	DAZAP2	1
RHOXF2	DAZAP2	1
RNF44	DAZAP2	1
ROR2	DAZAP2	1
RPS27A	DAZAP2	1
SMAP2	DAZAP2	1
SMURF2	DAZAP2	1
SNRPC	DAZAP2	1
SOX10	DAZAP2	1
SQSTM1	DAZAP2	1
STAM2	DAZAP2	1
TAX1BP1	DAZAP2	1
TBX6	DAZAP2	1
TCF7L2	DAZAP2	1
TEX37	DAZAP2	1
TFG	DAZAP2	1
TIAL1	DAZAP2	1
TNIP1	DAZAP2	1
TNIP3	DAZAP2	1
TOLLIP	DAZAP2	1
TOM1	DAZAP2	1
UBAC1	DAZAP2	1
UBAP2	DAZAP2	1
UBASH3A	DAZAP2	1
UBASH3B	DAZAP2	1
UBB	DAZAP2	1
UBC	DAZAP2	1
UBE2D4	DAZAP2	1
UBE2E2	DAZAP2	1
UBE2E3	DAZAP2	1
UBQLN1	DAZAP2	1
UBXN6	DAZAP2	1
UBXN7	DAZAP2	1
USP13	DAZAP2	1
USP5	DAZAP2	1
VENTX	DAZAP2	1
VEZF1	DAZAP2	1
VPS37C	DAZAP2	1
WWP1	DAZAP2	1
YOD1	DAZAP2	1
ZBTB32	DAZAP2	1
ZC3H10	DAZAP2	1
ZFAND2A	DAZAP2	1
ZFAND2B	DAZAP2	1
ZNF581	DAZAP2	1
DAZL	DAZL	1
LMO2	DBF4B	1
MDFI	DBF4B	1
PCSK5	DBF4B	1
ROPN1	DBF4B	1
DDIT4L	DBI	1
PFDN2	DBI	1
CALCOCO2	DBNDD2	1
CSNK1D	DBNDD2	1
CSNK1E	DBNDD2	1
SH2D4A	DBNL	1
SH3BP2	DBNL	1
SAMHD1	DCAF1	1
LHX4	DCAF10	1
RCN1	DCAF11	1
DDB1	DCAF12	1
SH2D2A	DCAF12L1	1
GTF2IRD1	DCAF6	1
MDFI	DCAF6	1
HIPK2	DCAF7	1
GTPBP3	DCAF8	1
MDFI	DCAF8	1
PRMT1	DCAF8	1
SUV39H1	DCAF8	1
THAP1	DCAF8	1
BOLL	DCANP1	1
KRTAP3-3	DCANP1	1
MDFI	DCANP1	1
SLC7A14	DCBLD2	1
APPL1	DCC	1
CASP3	DCC	1
MAZ	DCC	1
MYO10	DCC	1
PTK2	DCC	1
RPL5	DCC	1
APPBP2	DCD	1
C12orf10	DCDC2	1
C5AR2	DCDC2	1
CENPO	DCDC2	1
COMMD9	DCDC2	1
CYTH4	DCDC2	1
DYNC2LI1	DCDC2	1
FAM118A	DCDC2	1
GNL3L	DCDC2	1
HORMAD1	DCDC2	1
LMO3	DCDC2	1
MGME1	DCDC2	1
NMU	DCDC2	1
OXT	DCDC2	1
SLC38A2	DCDC2	1
TOLLIP	DCDC2	1
TRMT11	DCDC2	1
BANP	DCDC2B	1
CYSRT1	DCDC2B	1
FHL3	DCDC2B	1
FHL5	DCDC2B	1
FRS3	DCDC2B	1
HSF2BP	DCDC2B	1
KRT40	DCDC2B	1
KRTAP3-3	DCDC2B	1
MTUS2	DCDC2B	1
RBPMS	DCDC2B	1
ZNF574	DCDC2B	1
CDC23	DCLK1	1
PIAS1	DCLRE1A	1
BAG4	DCP1A	1
DCP1A	DCP1A	1
DCP2	DCP1A	1
EDC3	DCP1A	1
FHL2	DCP1A	1
NSMAF	DCP1A	1
PNRC2	DCP1A	1
RAD52	DCP1A	1
RITA1	DCP1A	1
SMAD4	DCP1A	1
EDC4	DCP1B	1
NSMAF	DCP1B	1
DCP1B	DCP2	1
EDC4	DCP2	1
UPF2	DCP2	1
DCPS	DCPS	1
KPNA6	DCPS	1
OS9	DCSTAMP	1
DCT	DCT	1
ACOT7	DCTD	1
CEP76	DCTD	1
DCTD	DCTD	1
FGF12	DCTD	1
GORASP2	DCTD	1
LNX1	DCTD	1
PICK1	DCTD	1
PSMA1	DCTD	1
TXN2	DCTD	1
UBE2I	DCTD	1
BBS4	DCTN1	1
DST	DCTN1	1
DYNC1I1	DCTN1	1
FBXL5	DCTN1	1
HAP1	DCTN1	1
KIF11	DCTN1	1
MAPT	DCTN1	1
MTERF1	DCTN1	1
RAB6A	DCTN1	1
ABI2	DCTN2	1
BLOC1S1	DCTN2	1
BLOC1S6	DCTN2	1
CENPH	DCTN2	1
CEP44	DCTN2	1
COG3	DCTN2	1
DCTN2	DCTN2	1
GADD45A	DCTN2	1
GADD45G	DCTN2	1
HAUS1	DCTN2	1
KIFC3	DCTN2	1
RABGEF1	DCTN2	1
RINT1	DCTN2	1
SMARCD1	DCTN2	1
TXLNB	DCTN2	1
USHBP1	DCTN2	1
KRT34	DCTN3	1
PITX1	DCTN3	1
TRIP13	DCTN3	1
USHBP1	DCTN3	1
ACTR10	DCTN4	1
ATP7B	DCTN4	1
DYNLL1	DCTN5	1
FATE1	DCTN5	1
NINL	DCTN5	1
PMEPA1	DCTN5	1
RBPMS	DCTN5	1
DCTPP1	DCTPP1	1
DDIT4L	DCTPP1	1
LNX1	DCTPP1	1
PSMA1	DCTPP1	1
SDCBP	DCTPP1	1
SPG21	DCTPP1	1
WDYHV1	DCTPP1	1
UBE2M	DCUN1D2	1
UBE2F	DCUN1D3	1
HUS1	DCUN1D5	1
LNX1	DCUN1D5	1
PICK1	DCUN1D5	1
MAPK9	DCX	1
MEOX1	DCX	1
SPAG5	DCX	1
ZRANB1	DCX	1
DCXR	DCXR	1
GLRX2	DCXR	1
RDH10	DDA1	1
FANCL	DDAH2	1
IGFN1	DDAH2	1
NOXA1	DDAH2	1
PRKAB2	DDAH2	1
TRIP13	DDAH2	1
VAC14	DDAH2	1
CDT1	DDB1	1
COPS3	DDB1	1
CRBN	DDB1	1
CUL4A	DDB1	1
DCAF4	DDB1	1
DCAF5	DDB1	1
DCAF6	DDB1	1
DCAF8	DDB1	1
DDB2	DDB1	1
ERCC8	DDB1	1
RBX1	DDB1	1
STAT1	DDB1	1
TRPC4AP	DDB1	1
WDTC1	DDB1	1
CCL28	DDI1	1
CYGB	DDI1	1
DVL2	DDI1	1
FAM161B	DDI1	1
KLHL42	DDI1	1
PSMB1	DDI1	1
SDS	DDI1	1
TEKT3	DDI1	1
TRAF2	DDI1	1
UBE2K	DDI1	1
USP2	DDI1	1
STUB1	DDIAS	1
AMOTL2	DDIT3	1
ATF3	DDIT3	1
ATF4	DDIT3	1
ATPAF2	DDIT3	1
BATF	DDIT3	1
BATF3	DDIT3	1
CEBPE	DDIT3	1
CEBPG	DDIT3	1
CRACR2A	DDIT3	1
CREBL2	DDIT3	1
DBP	DDIT3	1
DDIT3	DDIT3	1
EMSY	DDIT3	1
EP300	DDIT3	1
FOS	DDIT3	1
FOSL2	DDIT3	1
GABBR2	DDIT3	1
GIMAP6	DDIT3	1
HSD17B14	DDIT3	1
JDP2	DDIT3	1
JUND	DDIT3	1
LMO2	DDIT3	1
LNX1	DDIT3	1
SNAPC5	DDIT3	1
SPOP	DDIT3	1
TXN2	DDIT3	1
TXNDC2	DDIT3	1
VPS37C	DDIT3	1
ZBTB25	DDIT3	1
ZC3H14	DDIT3	1
SEPTIN3	DDIT4L	1
ABCB11	DDIT4L	1
ACY3	DDIT4L	1
AKT1	DDIT4L	1
BANF2	DDIT4L	1
BCL2L14	DDIT4L	1
BID	DDIT4L	1
C12orf10	DDIT4L	1
C19orf25	DDIT4L	1
C5orf22	DDIT4L	1
CABP5	DDIT4L	1
CALCOCO2	DDIT4L	1
CALM2	DDIT4L	1
CCNH	DDIT4L	1
CCNK	DDIT4L	1
CDC45	DDIT4L	1
CDKN2D	DDIT4L	1
CHMP1A	DDIT4L	1
CPSF1	DDIT4L	1
CRYBB1	DDIT4L	1
CSK	DDIT4L	1
DNPH1	DDIT4L	1
DOK4	DDIT4L	1
EIF4A3	DDIT4L	1
EIF4H	DDIT4L	1
EMILIN1	DDIT4L	1
EPHB6	DDIT4L	1
EXOSC5	DDIT4L	1
EXOSC8	DDIT4L	1
FAM129A	DDIT4L	1
FHL2	DDIT4L	1
FKBP6	DDIT4L	1
GADD45G	DDIT4L	1
GPKOW	DDIT4L	1
GTPBP3	DDIT4L	1
GUCA1A	DDIT4L	1
HDAC7	DDIT4L	1
HMG20A	DDIT4L	1
IL36RN	DDIT4L	1
IMPDH1	DDIT4L	1
KCTD9	DDIT4L	1
KRT34	DDIT4L	1
LENG1	DDIT4L	1
LGALS14	DDIT4L	1
LGALSL	DDIT4L	1
LSM5	DDIT4L	1
LSM7	DDIT4L	1
MAGEB2	DDIT4L	1
MAPRE3	DDIT4L	1
MIEN1	DDIT4L	1
MLX	DDIT4L	1
MORF4L2	DDIT4L	1
MYDGF	DDIT4L	1
MYL6	DDIT4L	1
MYLIP	DDIT4L	1
NAA10	DDIT4L	1
NAV1	DDIT4L	1
NDRG4	DDIT4L	1
NEK6	DDIT4L	1
NME7	DDIT4L	1
NQO2	DDIT4L	1
NXT2	DDIT4L	1
PARVG	DDIT4L	1
PDE4C	DDIT4L	1
PLAA	DDIT4L	1
PLSCR4	DDIT4L	1
POU1F1	DDIT4L	1
PPCDC	DDIT4L	1
PPIL1	DDIT4L	1
PRKAB2	DDIT4L	1
PSMA1	DDIT4L	1
RAB32	DDIT4L	1
RFC5	DDIT4L	1
RFPL3	DDIT4L	1
RNF8	DDIT4L	1
RPL22	DDIT4L	1
RPRD1B	DDIT4L	1
SCRN1	DDIT4L	1
SEC22A	DDIT4L	1
SH3BGRL3	DDIT4L	1
SNRPA	DDIT4L	1
SNRPG	DDIT4L	1
SORL1	DDIT4L	1
STK16	DDIT4L	1
STK4	DDIT4L	1
SULT2B1	DDIT4L	1
SUOX	DDIT4L	1
TARS2	DDIT4L	1
TBC1D22B	DDIT4L	1
TCF19	DDIT4L	1
TCL1A	DDIT4L	1
TEX14	DDIT4L	1
TOLLIP	DDIT4L	1
TTC5	DDIT4L	1
TXN	DDIT4L	1
TXNL4A	DDIT4L	1
UBE2B	DDIT4L	1
VEZF1	DDIT4L	1
WHRN	DDIT4L	1
XPNPEP1	DDIT4L	1
YPEL5	DDIT4L	1
ZNF410	DDIT4L	1
ZNF593	DDIT4L	1
ZNF76	DDIT4L	1
ACTN1	DDN	1
MAGI1	DDN	1
SH3KBP1	DDN	1
NCK2	DDR1	1
RGS2	DDR1	1
UBQLN2	DDR1	1
HSP90AB1	DDR2	1
SHC1	DDR2	1
DDX17	DDX17	1
ESR1	DDX17	1
LNX1	DDX17	1
U2AF2	DDX17	1
WBP11	DDX17	1
CTIF	DDX19A	1
MDFI	DDX19A	1
MIF4GD	DDX19A	1
CTIF	DDX19B	1
MIF4GD	DDX19B	1
NUP214	DDX19B	1
KPNA3	DDX21	1
SRPK2	DDX21	1
VCAM1	DDX21	1
TFIP11	DDX25	1
DDX39A	DDX39A	1
RNF4	DDX39A	1
UBE2I	DDX39A	1
ALYREF	DDX39B	1
CHTOP	DDX39B	1
DDX39A	DDX39B	1
DDX39B	DDX39B	1
HNRNPLL	DDX39B	1
LUZP4	DDX39B	1
RNF4	DDX39B	1
SDCBP	DDX39B	1
SNRPA	DDX39B	1
U2AF2	DDX39B	1
UBE2I	DDX39B	1
VCAM1	DDX39B	1
VCAM1	DDX3X	1
CEP70	DDX41	1
NKAP	DDX41	1
SRPK2	DDX46	1
FN1	DDX47	1
PRNP	DDX47	1
PAGE1	DDX49	1
AKAP8	DDX5	1
DDX17	DDX5	1
ESR1	DDX5	1
FBL	DDX5	1
ESR1	DDX54	1
PICK1	DDX55	1
AES	DDX6	1
BIRC7	DDX6	1
CEP76	DDX6	1
DDX17	DDX6	1
HOOK2	DDX6	1
LZTS1	DDX6	1
PAK5	DDX6	1
PICK1	DDX6	1
POU6F2	DDX6	1
RAPGEF3	DDX6	1
RUNDC3A	DDX6	1
TRIM37	DDX6	1
ZRANB1	DDX6	1
CDKN2A	DEAF1	1
CEP76	DEAF1	1
FHL2	DEAF1	1
C14orf119	DECR2	1
OSGIN1	DECR2	1
USP11	DECR2	1
VPS26C	DECR2	1
APLP2	DEDD	1
GTF3C3	DEDD	1
MEOX2	DEF8	1
UBQLN2	DEFA1	1
UBQLN2	DEFA1B	1
MEOX2	DEFA5	1
UBQLN1	DEFA6	1
AQP6	DEFB103A	1
EBP	DEFB103A	1
ERGIC3	DEFB103A	1
SCN3B	DEFB103A	1
SSMEM1	DEFB103A	1
TMEM14B	DEFB103A	1
AQP6	DEFB103B	1
EBP	DEFB103B	1
ERGIC3	DEFB103B	1
SCN3B	DEFB103B	1
SSMEM1	DEFB103B	1
TMEM14B	DEFB103B	1
TMEM31	DEFB105A	1
TMEM31	DEFB105B	1
AQP6	DEFB108B	1
GPR152	DEFB108B	1
SLC13A4	DEFB108B	1
HSF2BP	DEFB112	1
VWC2L	DEFB112	1
UBQLN1	DEFB115	1
UBQLN2	DEFB115	1
GUCA1A	DEFB118	1
CD40	DEFB121	1
CLEC2D	DEFB121	1
FAM209A	DEFB121	1
GJA8	DEFB121	1
IL27RA	DEFB121	1
LAYN	DEFB121	1
LRRC25	DEFB121	1
NECTIN4	DEFB121	1
SSMEM1	DEFB121	1
SYNE4	DEFB121	1
NCK2	DEFB124	1
PGRMC1	DEFB124	1
AQP6	DEFB127	1
FAM209A	DEFB128	1
TMED8	DEFB129	1
SGTA	DEFB131A	1
FNDC9	DEFB132	1
SEMA4G	DEGS1	1
LNX1	DENND1B	1
SNAPIN	DENND1C	1
USP2	DEPDC5	1
SEPHS1	DEPDC7	1
TRIM23	DEPP1	1
USHBP1	DEPP1	1
PSME3	DEPTOR	1
TRAF1	DEPTOR	1
TRIM41	DEPTOR	1
ABHD4	DERL1	1
AQP6	DERL1	1
FFAR2	DERL1	1
GAD2	DERL1	1
LNX1	DERL1	1
SLC10A1	DERL1	1
SLC7A14	DERL1	1
SLC7A8	DERL1	1
TMED8	DERL1	1
TRIM32	DERL1	1
BAG5	DES	1
C1orf216	DES	1
CT55	DES	1
CWF19L2	DES	1
DDX6	DES	1
DES	DES	1
DSP	DES	1
DYSF	DES	1
EHHADH	DES	1
GFAP	DES	1
HSPB1	DES	1
KRT13	DES	1
KRT15	DES	1
KRT20	DES	1
KRT33B	DES	1
KRT37	DES	1
KRT75	DES	1
LBX1	DES	1
LENG1	DES	1
LMO4	DES	1
M1AP	DES	1
MLH1	DES	1
NEK6	DES	1
PIAS2	DES	1
PIH1D2	DES	1
POLR2G	DES	1
PPL	DES	1
PPP1R18	DES	1
PRPH	DES	1
RNF4	DES	1
SYNC	DES	1
TCEA2	DES	1
TFIP11	DES	1
UBE2I	DES	1
VIM	DES	1
ZMYM5	DES	1
CDIP1	DESI1	1
ERP29	DESI1	1
RNF4	DESI1	1
SEMA3G	DESI2	1
SH3GLB1	DESI2	1
AMPH	DEUP1	1
BRMS1L	DEUP1	1
DDIT4L	DEUP1	1
DEUP1	DEUP1	1
DGCR6L	DEUP1	1
DTNB	DEUP1	1
EXOC5	DEUP1	1
FAM50B	DEUP1	1
GEM	DEUP1	1
HAUS8	DEUP1	1
IFIT3	DEUP1	1
IFT20	DEUP1	1
KCTD9	DEUP1	1
KIFC3	DEUP1	1
LNX1	DEUP1	1
PIAS2	DEUP1	1
PPP1R13B	DEUP1	1
RUNX1T1	DEUP1	1
SKIL	DEUP1	1
SUMO1	DEUP1	1
TBC1D22B	DEUP1	1
TFPT	DEUP1	1
TRIM54	DEUP1	1
TXLNA	DEUP1	1
TXLNB	DEUP1	1
USHBP1	DEUP1	1
WDYHV1	DEUP1	1
ZFHX3	DEUP1	1
ZNF148	DEUP1	1
ZNF835	DEUP1	1
BMP10	DEXI	1
C3orf52	DEXI	1
PEX16	DEXI	1
UBQLN1	DEXI	1
HSPB1	DFFA	1
NECAB2	DFFA	1
DFFA	DFFB	1
ABHD4	DGAT2L6	1
ABHD5	DGAT2L6	1
ACSF2	DGAT2L6	1
AQP6	DGAT2L6	1
ARFIP2	DGAT2L6	1
BNIP2	DGAT2L6	1
C12orf10	DGAT2L6	1
C16orf58	DGAT2L6	1
DIABLO	DGAT2L6	1
ECPAS	DGAT2L6	1
FAM96A	DGAT2L6	1
FARS2	DGAT2L6	1
FBXL19	DGAT2L6	1
FCER1G	DGAT2L6	1
GAD2	DGAT2L6	1
GPR152	DGAT2L6	1
MCEMP1	DGAT2L6	1
MPP1	DGAT2L6	1
MTERF4	DGAT2L6	1
NAPB	DGAT2L6	1
NDRG4	DGAT2L6	1
PBX3	DGAT2L6	1
PGRMC2	DGAT2L6	1
PITPNC1	DGAT2L6	1
REEP4	DGAT2L6	1
RNF144A	DGAT2L6	1
SCAND1	DGAT2L6	1
SCN3B	DGAT2L6	1
SLC10A1	DGAT2L6	1
SLC10A6	DGAT2L6	1
SMG9	DGAT2L6	1
SNX4	DGAT2L6	1
STAR	DGAT2L6	1
THAP4	DGAT2L6	1
TMED8	DGAT2L6	1
TMEM143	DGAT2L6	1
TMEM14B	DGAT2L6	1
TMEM31	DGAT2L6	1
TTPA	DGAT2L6	1
TUFM	DGAT2L6	1
WIPI2	DGAT2L6	1
AKAP8L	DGCR6	1
ESS2	DGCR6	1
FH	DGCR6	1
INIP	DGCR6	1
ATN1	DGCR6L	1
AVPI1	DGCR6L	1
DTNBP1	DGCR6L	1
GATA1	DGCR6L	1
GGA1	DGCR6L	1
KRT31	DGCR6L	1
LZTS2	DGCR6L	1
MID2	DGCR6L	1
NECAB2	DGCR6L	1
POU2AF1	DGCR6L	1
PPP1R13B	DGCR6L	1
ZNF446	DGCR6L	1
MEOX2	DGCR8	1
SRPK1	DGCR8	1
DGKD	DGKD	1
VHL	DGKI	1
PSMA3	DGLUCY	1
GKAP1	DHFR	1
MDM2	DHFR	1
DHPS	DHPS	1
LNX1	DHPS	1
PAX6	DHPS	1
PTPRH	DHPS	1
RAB27B	DHPS	1
VASH1	DHPS	1
BNIP2	DHRS1	1
KRT34	DHRS1	1
LHX4	DHRS1	1
MDFI	DHRS1	1
MTUS2	DHRS1	1
DLG3	DHRS11	1
APPBP2	DHRS2	1
APOC1	DHRSX	1
AQP6	DHRSX	1
C16orf58	DHRSX	1
CIDEB	DHRSX	1
CMTM5	DHRSX	1
PGRMC2	DHRSX	1
RETREG3	DHRSX	1
TMEM143	DHRSX	1
TMEM14B	DHRSX	1
TMEM56	DHRSX	1
ZDHHC15	DHRSX	1
ARNTL	DHTKD1	1
CAMSAP3	DHX15	1
RBM5	DHX15	1
SUGP1	DHX15	1
APPBP2	DHX16	1
DHX38	DHX16	1
GPKOW	DHX16	1
SF3B2	DHX16	1
XAB2	DHX16	1
FN1	DHX30	1
RBL1	DHX30	1
GPKOW	DHX38	1
NUDCD1	DHX38	1
CARD10	DHX57	1
NAA10	DHX57	1
PLAGL2	DHX57	1
RSPO4	DHX57	1
ZNF473	DHX57	1
ZNF837	DHX57	1
AP2B1	DHX58	1
DHX8	DHX8	1
AKAP8L	DHX9	1
BRCA1	DHX9	1
KHDRBS1	DHX9	1
MBD2	DHX9	1
AGTRAP	DIABLO	1
ARL6IP1	DIABLO	1
BIRC2	DIABLO	1
BIRC5	DIABLO	1
BIRC7	DIABLO	1
BIRC8	DIABLO	1
C19orf70	DIABLO	1
CMTM4	DIABLO	1
DERL2	DIABLO	1
DHRS1	DIABLO	1
DIABLO	DIABLO	1
EHHADH	DIABLO	1
FADS6	DIABLO	1
FKBP7	DIABLO	1
HSD17B13	DIABLO	1
HTRA2	DIABLO	1
MPC2	DIABLO	1
MTFR1	DIABLO	1
PQLC1	DIABLO	1
RHBDD2	DIABLO	1
RMDN2	DIABLO	1
SEC22A	DIABLO	1
SLC17A9	DIABLO	1
STMN4	DIABLO	1
SYP	DIABLO	1
TIMMDC1	DIABLO	1
XIAP	DIABLO	1
FN1	DIAPH1	1
RHOA	DIAPH1	1
ALOX5	DICER1	1
CEP70	DIEXF	1
MEOX2	DIEXF	1
MID2	DIEXF	1
TRIM62	DIEXF	1
TRIM9	DIEXF	1
MARCHF6	DIO2	1
UBE2G1	DIO2	1
USP33	DIO2	1
WSB1	DIO2	1
ADAMTSL4	DIP2A	1
AES	DIP2A	1
CCDC33	DIP2A	1
FAM214B	DIP2A	1
FST	DIP2A	1
GPATCH2L	DIP2A	1
MBIP	DIP2A	1
PSME3	DIP2A	1
PTPN3	DIP2A	1
SORBS3	DIP2A	1
TMCC2	DIP2A	1
TRIP13	DIP2A	1
PPP1R13B	DIRAS1	1
RAP1GDS1	DIRAS1	1
TP53BP2	DIRAS1	1
RAP1GDS1	DIRAS2	1
RIPPLY1	DIRAS2	1
UNC45A	DIRAS2	1
MEOX2	DIRAS3	1
ABI2	DISC1	1
ACTN2	DISC1	1
AIMP2	DISC1	1
ALS2CR12	DISC1	1
AMOT	DISC1	1
ANKHD1	DISC1	1
AP1M1	DISC1	1
ARMC7	DISC1	1
BAG2	DISC1	1
BRD1	DISC1	1
C1orf109	DISC1	1
C2CD6	DISC1	1
CCDC102B	DISC1	1
CCDC92	DISC1	1
CDC23	DISC1	1
CDC37	DISC1	1
CDKL3	DISC1	1
CWF19L2	DISC1	1
DDX6	DISC1	1
EIF3H	DISC1	1
EIF4A3	DISC1	1
EMSY	DISC1	1
FEZ1	DISC1	1
GABARAPL1	DISC1	1
GAS8	DISC1	1
GNG13	DISC1	1
GRIPAP1	DISC1	1
HNRNPC	DISC1	1
IFT20	DISC1	1
IFT74	DISC1	1
IMMT	DISC1	1
KIF9	DISC1	1
KIFC3	DISC1	1
LENG1	DISC1	1
MNS1	DISC1	1
MORF4L2	DISC1	1
NCK2	DISC1	1
NECAB1	DISC1	1
NME7	DISC1	1
PCNT	DISC1	1
PHF1	DISC1	1
PIBF1	DISC1	1
PIK3R3	DISC1	1
PKN1	DISC1	1
PSPC1	DISC1	1
RANBP9	DISC1	1
RBM41	DISC1	1
RECK	DISC1	1
RNF40	DISC1	1
SMARCD1	DISC1	1
SMARCE1	DISC1	1
SMYD1	DISC1	1
SPATC1L	DISC1	1
SPTBN4	DISC1	1
STX11	DISC1	1
SUFU	DISC1	1
SYNE1	DISC1	1
TRAF4	DISC1	1
TRIM29	DISC1	1
TSGA10	DISC1	1
TSR2	DISC1	1
TTC23	DISC1	1
UBASH3A	DISC1	1
UBASH3B	DISC1	1
USP2	DISC1	1
ZNF76	DISC1	1
PDHX	DLAT	1
PDK3	DLAT	1
RASA1	DLC1	1
TNS2	DLC1	1
ADGRA2	DLG1	1
KIF1B	DLG1	1
AOAH	DLG2	1
DLGAP3	DLG2	1
FA2H	DLG2	1
KDELR1	DLG2	1
PPIL4	DLG2	1
RPS8	DLG2	1
VTN	DLG2	1
ADRB1	DLG4	1
CRIPT	DLG4	1
DLG3	DLG4	1
KCNA1	DLG4	1
KCNA5	DLG4	1
KIF1B	DLG4	1
LRP1	DLG4	1
LRP2	DLG4	1
MED28	DLG4	1
NOS1	DLG4	1
SORBS3	DLG5	1
DLG1	DLGAP1	1
DLG2	DLGAP1	1
DLG3	DLGAP1	1
DLG4	DLGAP1	1
DYNLL1	DLGAP1	1
FHL2	DLGAP1	1
SHANK2	DLGAP1	1
ABI2	DLGAP2	1
CYSRT1	DLGAP2	1
DLG2	DLGAP2	1
DLG3	DLGAP2	1
DLG4	DLGAP2	1
MAGI2	DLGAP2	1
UBASH3B	DLGAP2	1
FKBP6	DLGAP4	1
FYN	DLGAP4	1
MPP5	DLGAP4	1
NCK2	DLGAP4	1
SLC9A3R2	DLGAP4	1
TRIM37	DLGAP5	1
ADAMTSL4	DLK2	1
GRN	DLX2	1
ARFIP2	DMAP1	1
BFSP2	DMAP1	1
C1orf216	DMAP1	1
CDCA7L	DMAP1	1
DNMT1	DMAP1	1
EXOC8	DMAP1	1
GAS8	DMAP1	1
GINS4	DMAP1	1
HSF2BP	DMAP1	1
HSPB1	DMAP1	1
KRT75	DMAP1	1
LMNB1	DMAP1	1
LRSAM1	DMAP1	1
MIS18A	DMAP1	1
MNAT1	DMAP1	1
PFDN1	DMAP1	1
PIBF1	DMAP1	1
SAAL1	DMAP1	1
SUOX	DMAP1	1
TCEANC	DMAP1	1
TCHP	DMAP1	1
TLK2	DMAP1	1
TRIM21	DMAP1	1
TSG101	DMAP1	1
TSGA10IP	DMAP1	1
TXLNA	DMAP1	1
TXLNB	DMAP1	1
URI1	DMAP1	1
SFTPA1	DMBT1	1
SFTPD	DMBT1	1
DMC1	DMC1	1
LNX1	DMC1	1
PIAS2	DMC1	1
PICK1	DMC1	1
RAD51	DMC1	1
CTNNAL1	DMD	1
DAG1	DMD	1
DTNA	DMD	1
DTNB	DMD	1
HAUS1	DMD	1
KRT19	DMD	1
PICK1	DMD	1
GAD2	DMKN	1
HSPA5	DMKN	1
SGTA	DMKN	1
UBQLN1	DMKN	1
AES	DMRT2	1
AKAP8L	DMRT3	1
GRN	DMRT3	1
LASP1	DMRT3	1
TRAF1	DMRT3	1
TTC19	DMRT3	1
AES	DMRTB1	1
C1orf94	DMRTB1	1
EYA2	DMRTB1	1
FAM46A	DMRTB1	1
HNRNPUL1	DMRTB1	1
NEDD9	DMRTB1	1
RBFOX2	DMRTB1	1
SORBS3	DMRTB1	1
VASP	DMRTB1	1
CEP76	DMTN	1
TEX11	DMTN	1
TRAF2	DMTN	1
POGZ	DMXL1	1
BANF2	DNAAF4	1
CRACR2B	DNAAF4	1
EXOC5	DNAAF4	1
KRT13	DNAAF4	1
MCC	DNAAF4	1
SPDL1	DNAAF4	1
STUB1	DNAAF4	1
TRIM23	DNAAF4	1
BRCA1	DNAJA1	1
FAM214B	DNAJA3	1
FOSL2	DNAJA3	1
KDM1A	DNAJA3	1
