Protein	Protein	Input
SMARCD1	ABI1	1
TRIP10	ABI1	1
TTC23	ABI1	1
VASP	ABI1	1
ABI1	ABI2	1
ABI2	ABI2	1
ABI3	ABI2	1
ADAM19	ABI2	1
AES	ABI2	1
AKAP8L	ABI2	1
AKAP9	ABI2	1
ANKS1A	ABI2	1
ARHGAP32	ABI2	1
ARMC7	ABI2	1
BLOC1S6	ABI2	1
C1orf109	ABI2	1
CASC1	ABI2	1
CCDC115	ABI2	1
CENPQ	ABI2	1
CLPP	ABI2	1
COG3	ABI2	1
CRX	ABI2	1
DLGAP4	ABI2	1
DTNB	ABI2	1
EFS	ABI2	1
EGLN3	ABI2	1
EGR4	ABI2	1
ENKD1	ABI2	1
EPS8L1	ABI2	1
FAM214B	ABI2	1
FBXL19	ABI2	1
FHL5	ABI2	1
FKBP1A	ABI2	1
GFAP	ABI2	1
HOMER3	ABI2	1
IFT20	ABI2	1
INO80B	ABI2	1
KIAA1217	ABI2	1
KNSTRN	ABI2	1
KRT31	ABI2	1
KRT33B	ABI2	1
KRT34	ABI2	1
KRT36	ABI2	1
LENG1	ABI2	1
LHX3	ABI2	1
LMO2	ABI2	1
LMO3	ABI2	1
LNX1	ABI2	1
LZTS2	ABI2	1
MED10	ABI2	1
MED29	ABI2	1
MEOX2	ABI2	1
MRPL28	ABI2	1
MRPL44	ABI2	1
MYOG	ABI2	1
NCK2	ABI2	1
NCKAP1	ABI2	1
NME4	ABI2	1
OIP5	ABI2	1
PCM1	ABI2	1
PFDN5	ABI2	1
PHF1	ABI2	1
PIN1	ABI2	1
POMC	ABI2	1
PPIF	ABI2	1
PRAM1	ABI2	1
PRDM6	ABI2	1
PRKAA1	ABI2	1
PSMA1	ABI2	1
RABEP1	ABI2	1
RASD1	ABI2	1
RSPH14	ABI2	1
SCGN	ABI2	1
SDCBP	ABI2	1
SH3BP1	ABI2	1
SMARCD1	ABI2	1
SNAP23	ABI2	1
SNAP91	ABI2	1
SORBS3	ABI2	1
STAM2	ABI2	1
STX4	ABI2	1
TFIP11	ABI2	1
TRIM32	ABI2	1
TRIP6	ABI2	1
USHBP1	ABI2	1
USP2	ABI2	1
VARS2	ABI2	1
VASP	ABI2	1
VCL	ABI2	1
WASF1	ABI2	1
WASF3	ABI2	1
WASHC3	ABI2	1
WASL	ABI2	1
WIPF1	ABI2	1
ZMYND12	ABI2	1
ABI3	ABI3	1
CENPQ	ABI3	1
DESI1	ABI3	1
DTNBP1	ABI3	1
HOMER2	ABI3	1
HOMER3	ABI3	1
KLC3	ABI3	1
KRT31	ABI3	1
MED29	ABI3	1
NCK2	ABI3	1
OIP5	ABI3	1
RUFY3	ABI3	1
RUNX1T1	ABI3	1
SH3BP1	ABI3	1
SMARCD1	ABI3	1
SNAP23	ABI3	1
STX1A	ABI3	1
SUFU	ABI3	1
TMEM147	ABI3	1
TRAF4	ABI3	1
TXN2	ABI3	1
WAS	ABI3	1
BRCA1	ABL1	1
CDON	ABL1	1
EPS15	ABL1	1
KRT31	ABL1	1
