Pathway	Gene	Input
Pentose and glucuronate interconversions	UGT1A1	1
Pentose and glucuronate interconversions	UGT1A3	1
Pentose and glucuronate interconversions	UGT2B10	1
Pentose and glucuronate interconversions	UGT1A9	1
Pentose and glucuronate interconversions	UGT2B7	1
Pentose and glucuronate interconversions	UGT1A10	1
Pentose and glucuronate interconversions	UGT1A8	1
Pentose and glucuronate interconversions	UGT1A5	1
Pentose and glucuronate interconversions	UGT2B15	1
Pentose and glucuronate interconversions	UGT1A7	1
Pentose and glucuronate interconversions	UGT2B4	1
Pentose and glucuronate interconversions	UGT2A2	1
Pentose and glucuronate interconversions	UGDH	1
Pentose and glucuronate interconversions	UGP2	1
Pentose and glucuronate interconversions	AKR1A1	1
Pentose and glucuronate interconversions	CRYL1	1
Pentose and glucuronate interconversions	RPE	1
Pentose and glucuronate interconversions	RPEL1	1
Pentose and glucuronate interconversions	XYLB	1
Pentose and glucuronate interconversions	AKR1B1	1
Pentose and glucuronate interconversions	AKR1B10	1
Pentose and glucuronate interconversions	DCXR	1
Pentose and glucuronate interconversions	SORD	1
Pentose and glucuronate interconversions	DHDH	1
Pentose and glucuronate interconversions	CRPPA	1
Fructose and mannose metabolism	MPI	1
Fructose and mannose metabolism	PMM2	1
Fructose and mannose metabolism	PMM1	1
Fructose and mannose metabolism	GMPPB	1
Fructose and mannose metabolism	GMPPA	1
Fructose and mannose metabolism	GMDS	1
Fructose and mannose metabolism	GFUS	1
Fructose and mannose metabolism	FPGT	1
Fructose and mannose metabolism	FCSK	1
Fructose and mannose metabolism	ENOSF1	1
Fructose and mannose metabolism	HK3	1
Fructose and mannose metabolism	HK1	1
Fructose and mannose metabolism	HK2	1
Fructose and mannose metabolism	HKDC1	1
Fructose and mannose metabolism	PFKM	1
Fructose and mannose metabolism	PFKP	1
Fructose and mannose metabolism	PFKL	1
Fructose and mannose metabolism	FBP1	1
Fructose and mannose metabolism	FBP2	1
Fructose and mannose metabolism	PFKFB1	1
Fructose and mannose metabolism	PFKFB2	1
Fructose and mannose metabolism	PFKFB3	1
Fructose and mannose metabolism	PFKFB4	1
Fructose and mannose metabolism	TIGAR	1
Fructose and mannose metabolism	KHK	1
Fructose and mannose metabolism	SORD	1
Fructose and mannose metabolism	AKR1B1	1
Fructose and mannose metabolism	AKR1B10	1
Fructose and mannose metabolism	ALDOC	1
Fructose and mannose metabolism	ALDOA	1
Fructose and mannose metabolism	ALDOB	1
Fructose and mannose metabolism	TPI1	1
Fructose and mannose metabolism	TKFC	1
Galactose metabolism	GALM	1
Galactose metabolism	GALK1	1
Galactose metabolism	GALT	1
Galactose metabolism	GALE	1
Galactose metabolism	UGP2	1
Galactose metabolism	PGM1	1
Galactose metabolism	PGM2	1
Galactose metabolism	HK3	1
Galactose metabolism	HK1	1
Galactose metabolism	HK2	1
Galactose metabolism	HKDC1	1
Galactose metabolism	GCK	1
Galactose metabolism	G6PC1	1
Galactose metabolism	G6PC2	1
Galactose metabolism	G6PC3	1
Galactose metabolism	GLB1	1
Galactose metabolism	LCT	1
Galactose metabolism	LALBA	1
Galactose metabolism	B4GALT1	1
Galactose metabolism	B4GALT2	1
Galactose metabolism	GLA	1
Galactose metabolism	AKR1B1	1
Galactose metabolism	AKR1B10	1
Galactose metabolism	PFKM	1
Galactose metabolism	PFKP	1
Galactose metabolism	PFKL	1
Galactose metabolism	MGAM	1
Galactose metabolism	MGAM2	1
Galactose metabolism	GAA	1
Galactose metabolism	GANC	1
Galactose metabolism	SI	1
Ascorbate and aldarate metabolism	UGDH	1
Ascorbate and aldarate metabolism	UGT2A1	1
Ascorbate and aldarate metabolism	UGT2A3	1
Ascorbate and aldarate metabolism	UGT2B17	1
Ascorbate and aldarate metabolism	UGT2B11	1
Ascorbate and aldarate metabolism	UGT2B28	1
Ascorbate and aldarate metabolism	UGT1A6	1
Ascorbate and aldarate metabolism	UGT1A4	1
Ascorbate and aldarate metabolism	UGT1A1	1
Ascorbate and aldarate metabolism	UGT1A3	1
Ascorbate and aldarate metabolism	UGT2B10	1
Ascorbate and aldarate metabolism	UGT1A9	1
Ascorbate and aldarate metabolism	UGT2B7	1
Ascorbate and aldarate metabolism	UGT1A10	1
Ascorbate and aldarate metabolism	UGT1A8	1
Ascorbate and aldarate metabolism	UGT1A5	1
Ascorbate and aldarate metabolism	UGT2B15	1
Ascorbate and aldarate metabolism	UGT1A7	1
Ascorbate and aldarate metabolism	UGT2B4	1
Ascorbate and aldarate metabolism	UGT2A2	1
Ascorbate and aldarate metabolism	GUSB	1
Ascorbate and aldarate metabolism	KL	1
Ascorbate and aldarate metabolism	MIOX	1
Ascorbate and aldarate metabolism	AKR1A1	1
Ascorbate and aldarate metabolism	RGN	1
Ascorbate and aldarate metabolism	ALDH2	1
Ascorbate and aldarate metabolism	ALDH3A2	1
Ascorbate and aldarate metabolism	ALDH1B1	1
Ascorbate and aldarate metabolism	ALDH7A1	1
Ascorbate and aldarate metabolism	ALDH9A1	1
Starch and sucrose metabolism	MGAM	1
Starch and sucrose metabolism	MGAM2	1
Starch and sucrose metabolism	GAA	1
Starch and sucrose metabolism	GANC	1
Starch and sucrose metabolism	SI	1
Starch and sucrose metabolism	UGP2	1
Starch and sucrose metabolism	ENPP1	1
Starch and sucrose metabolism	ENPP3	1
Starch and sucrose metabolism	GBA3	1
Starch and sucrose metabolism	GYS2	1
Starch and sucrose metabolism	GYS1	1
Starch and sucrose metabolism	GYG1	1
Starch and sucrose metabolism	GYG2	1
Starch and sucrose metabolism	GBE1	1
Starch and sucrose metabolism	PYGL	1
Starch and sucrose metabolism	PYGM	1
Starch and sucrose metabolism	PYGB	1
Starch and sucrose metabolism	AGL	1
Starch and sucrose metabolism	AMY1C	1
Starch and sucrose metabolism	AMY2A	1
Starch and sucrose metabolism	AMY1A	1
Starch and sucrose metabolism	AMY2B	1
Starch and sucrose metabolism	AMY1B	1
Starch and sucrose metabolism	TREH	1
Starch and sucrose metabolism	PGM1	1
Starch and sucrose metabolism	PGM2	1
Starch and sucrose metabolism	HK3	1
Starch and sucrose metabolism	HK1	1
Starch and sucrose metabolism	HK2	1
Starch and sucrose metabolism	HKDC1	1
Starch and sucrose metabolism	GCK	1
Starch and sucrose metabolism	G6PC1	1
Starch and sucrose metabolism	G6PC2	1
Starch and sucrose metabolism	G6PC3	1
Starch and sucrose metabolism	PGM2L1	1
Starch and sucrose metabolism	GPI	1
Amino sugar and nucleotide sugar metabolism	CHIA	1
Amino sugar and nucleotide sugar metabolism	CHIT1	1
Amino sugar and nucleotide sugar metabolism	HEXA	1
Amino sugar and nucleotide sugar metabolism	HEXB	1
Amino sugar and nucleotide sugar metabolism	NAGK	1
Amino sugar and nucleotide sugar metabolism	PGM3	1
Amino sugar and nucleotide sugar metabolism	UAP1	1
Amino sugar and nucleotide sugar metabolism	UAP1L1	1
Amino sugar and nucleotide sugar metabolism	GNE	1
Amino sugar and nucleotide sugar metabolism	RENBP	1
Amino sugar and nucleotide sugar metabolism	NANS	1
Amino sugar and nucleotide sugar metabolism	NANP	1
Amino sugar and nucleotide sugar metabolism	NPL	1
Amino sugar and nucleotide sugar metabolism	CMAS	1
Amino sugar and nucleotide sugar metabolism	CYB5R1	1
Amino sugar and nucleotide sugar metabolism	CYB5R3	1
Amino sugar and nucleotide sugar metabolism	CYB5R2	1
Amino sugar and nucleotide sugar metabolism	CYB5RL	1
Amino sugar and nucleotide sugar metabolism	CYB5R4	1
Amino sugar and nucleotide sugar metabolism	HK3	1
Amino sugar and nucleotide sugar metabolism	HK1	1
Amino sugar and nucleotide sugar metabolism	HK2	1
Amino sugar and nucleotide sugar metabolism	HKDC1	1
Amino sugar and nucleotide sugar metabolism	AMDHD2	1
Amino sugar and nucleotide sugar metabolism	GNPNAT1	1
Amino sugar and nucleotide sugar metabolism	GNPDA1	1
Amino sugar and nucleotide sugar metabolism	GNPDA2	1
Amino sugar and nucleotide sugar metabolism	GFPT2	1
Amino sugar and nucleotide sugar metabolism	GFPT1	1
Amino sugar and nucleotide sugar metabolism	UXS1	1
Amino sugar and nucleotide sugar metabolism	GCK	1
Amino sugar and nucleotide sugar metabolism	GPI	1
Amino sugar and nucleotide sugar metabolism	PGM1	1
Amino sugar and nucleotide sugar metabolism	PGM2	1
Amino sugar and nucleotide sugar metabolism	UGP2	1
Amino sugar and nucleotide sugar metabolism	UGDH	1
Amino sugar and nucleotide sugar metabolism	GALK1	1
Amino sugar and nucleotide sugar metabolism	GALT	1
Amino sugar and nucleotide sugar metabolism	GALE	1
Amino sugar and nucleotide sugar metabolism	PMM2	1
Amino sugar and nucleotide sugar metabolism	PMM1	1
Amino sugar and nucleotide sugar metabolism	GMPPB	1
Amino sugar and nucleotide sugar metabolism	GMPPA	1
Amino sugar and nucleotide sugar metabolism	GMDS	1
Amino sugar and nucleotide sugar metabolism	MPI	1
Amino sugar and nucleotide sugar metabolism	FCSK	1
Amino sugar and nucleotide sugar metabolism	FPGT	1
Amino sugar and nucleotide sugar metabolism	GFUS	1
Pyruvate metabolism	ACSS1	1
Pyruvate metabolism	ACSS2	1
Pyruvate metabolism	PDHA2	1
Pyruvate metabolism	PDHA1	1
Pyruvate metabolism	PDHB	1
Pyruvate metabolism	DLAT	1
Pyruvate metabolism	DLD	1
Pyruvate metabolism	PDHX	1
Pyruvate metabolism	PKM	1
Pyruvate metabolism	PKLR	1
Pyruvate metabolism	ACACA	1
Pyruvate metabolism	ACACB	1
Pyruvate metabolism	ACYP2	1
Pyruvate metabolism	ACYP1	1
Pyruvate metabolism	ALDH2	1
Pyruvate metabolism	ALDH3A2	1
Pyruvate metabolism	ALDH1B1	1
Pyruvate metabolism	ALDH7A1	1
Pyruvate metabolism	ALDH9A1	1
Pyruvate metabolism	ACOT12	1
Pyruvate metabolism	LDHAL6A	1
Pyruvate metabolism	LDHAL6B	1
Pyruvate metabolism	LDHA	1
Pyruvate metabolism	LDHB	1
Pyruvate metabolism	LDHC	1
Pyruvate metabolism	LDHD	1
Pyruvate metabolism	GLO1	1
Pyruvate metabolism	HAGH	1
Pyruvate metabolism	GRHPR	1
Pyruvate metabolism	ME2	1
Pyruvate metabolism	ME3	1
Pyruvate metabolism	ME1	1
Pyruvate metabolism	PC	1
Pyruvate metabolism	MDH1	1
Pyruvate metabolism	MDH2	1
Pyruvate metabolism	FH	1
Pyruvate metabolism	PCK1	1
Pyruvate metabolism	PCK2	1
Pyruvate metabolism	ACAT2	1
Pyruvate metabolism	ACAT1	1
Glyoxylate and dicarboxylate metabolism	ACSS1	1
Glyoxylate and dicarboxylate metabolism	ACSS2	1
Glyoxylate and dicarboxylate metabolism	MDH1	1
Glyoxylate and dicarboxylate metabolism	MDH2	1
Glyoxylate and dicarboxylate metabolism	CS	1
Glyoxylate and dicarboxylate metabolism	ACO2	1
Glyoxylate and dicarboxylate metabolism	ACO1	1
Glyoxylate and dicarboxylate metabolism	ACAT2	1
Glyoxylate and dicarboxylate metabolism	ACAT1	1
Glyoxylate and dicarboxylate metabolism	MCEE	1
Glyoxylate and dicarboxylate metabolism	PCCA	1
Glyoxylate and dicarboxylate metabolism	PCCB	1
Glyoxylate and dicarboxylate metabolism	MMUT	1
Glyoxylate and dicarboxylate metabolism	HAO2	1
Glyoxylate and dicarboxylate metabolism	HAO1	1
Glyoxylate and dicarboxylate metabolism	CAT	1
Glyoxylate and dicarboxylate metabolism	GRHPR	1
Glyoxylate and dicarboxylate metabolism	PGP	1
Glyoxylate and dicarboxylate metabolism	AGXT	1
Glyoxylate and dicarboxylate metabolism	GLUL	1
Glyoxylate and dicarboxylate metabolism	SHMT2	1
Glyoxylate and dicarboxylate metabolism	SHMT1	1
Glyoxylate and dicarboxylate metabolism	GLDC	1
Glyoxylate and dicarboxylate metabolism	AMT	1
Glyoxylate and dicarboxylate metabolism	DLD	1
Glyoxylate and dicarboxylate metabolism	GCSH	1
Glyoxylate and dicarboxylate metabolism	HYI	1
Glyoxylate and dicarboxylate metabolism	GLYCTK	1
Glyoxylate and dicarboxylate metabolism	HOGA1	1
Glyoxylate and dicarboxylate metabolism	AFMID	1
Propanoate metabolism	ACSS1	1
Propanoate metabolism	ACSS2	1
Propanoate metabolism	ACSS3	1
Propanoate metabolism	BCKDHA	1
Propanoate metabolism	BCKDHB	1
Propanoate metabolism	DBT	1
Propanoate metabolism	DLD	1
Propanoate metabolism	ACADS	1
Propanoate metabolism	ACOX3	1
Propanoate metabolism	ACOX1	1
Propanoate metabolism	HADHA	1
Propanoate metabolism	EHHADH	1
Propanoate metabolism	ECHS1	1
Propanoate metabolism	HIBCH	1
Propanoate metabolism	ACACA	1
Propanoate metabolism	ACACB	1
Propanoate metabolism	MLYCD	1
Propanoate metabolism	ABAT	1
Propanoate metabolism	PCCA	1
Propanoate metabolism	PCCB	1
Propanoate metabolism	ECHDC1	1
Propanoate metabolism	MCEE	1
Propanoate metabolism	MMUT	1
Propanoate metabolism	SUCLG1	1
Propanoate metabolism	SUCLG2	1
Propanoate metabolism	SUCLA2	1
Propanoate metabolism	ALDH6A1	1
Propanoate metabolism	LDHAL6A	1
Propanoate metabolism	LDHAL6B	1
Propanoate metabolism	LDHA	1
Propanoate metabolism	LDHB	1
Propanoate metabolism	LDHC	1
Propanoate metabolism	ACAT2	1
Propanoate metabolism	ACAT1	1
Butanoate metabolism	ACAT2	1
Butanoate metabolism	ACAT1	1
Butanoate metabolism	HADH	1
Butanoate metabolism	HADHA	1
Butanoate metabolism	EHHADH	1
Butanoate metabolism	ECHS1	1
Butanoate metabolism	ACADS	1
Butanoate metabolism	ACSM1	1
Butanoate metabolism	ACSM2A	1
Butanoate metabolism	ACSM4	1
Butanoate metabolism	ACSM5	1
Butanoate metabolism	ACSM3	1
Butanoate metabolism	ACSM2B	1
Butanoate metabolism	ACSM6	1
Butanoate metabolism	L2HGDH	1
Butanoate metabolism	GAD1	1
Butanoate metabolism	GAD2	1
Butanoate metabolism	ABAT	1
Butanoate metabolism	ALDH5A1	1
Butanoate metabolism	HMGCS1	1
Butanoate metabolism	HMGCS2	1
Butanoate metabolism	HMGCL	1
Butanoate metabolism	HMGCLL1	1
Butanoate metabolism	OXCT1	1
Butanoate metabolism	OXCT2	1
Butanoate metabolism	AACS	1
Butanoate metabolism	BDH1	1
Butanoate metabolism	BDH2	1
Inositol phosphate metabolism	ACOD1	1
Inositol phosphate metabolism	PIK3C3	1
Inositol phosphate metabolism	MTM1	1
Inositol phosphate metabolism	MTMR1	1
Inositol phosphate metabolism	MTMR2	1
Inositol phosphate metabolism	MTMR3	1
Inositol phosphate metabolism	MTMR4	1
Inositol phosphate metabolism	MTMR8	1
Inositol phosphate metabolism	MTMR6	1
Inositol phosphate metabolism	MTMR7	1
Inositol phosphate metabolism	MTMR14	1
Inositol phosphate metabolism	PI4KA	1
Inositol phosphate metabolism	PI4KB	1
Inositol phosphate metabolism	PI4K2A	1
Inositol phosphate metabolism	PI4K2B	1
Inositol phosphate metabolism	SACM1L	1
Inositol phosphate metabolism	INPP5F	1
Inositol phosphate metabolism	PIP5K1C	1
Inositol phosphate metabolism	PIP5K1A	1
Inositol phosphate metabolism	PIP5K1B	1
Inositol phosphate metabolism	PIP5KL1	1
Inositol phosphate metabolism	OCRL	1
Inositol phosphate metabolism	INPP5B	1
Inositol phosphate metabolism	INPP5E	1
Inositol phosphate metabolism	SYNJ1	1
Inositol phosphate metabolism	SYNJ2	1
Inositol phosphate metabolism	PIK3CA	1
Inositol phosphate metabolism	PIK3CD	1
Inositol phosphate metabolism	PIK3CB	1
Inositol phosphate metabolism	PIK3CG	1
Inositol phosphate metabolism	PTEN	1
Inositol phosphate metabolism	INPP5D	1
Inositol phosphate metabolism	INPPL1	1
Inositol phosphate metabolism	PIK3C2G	1
Inositol phosphate metabolism	PIK3C2A	1
Inositol phosphate metabolism	PIK3C2B	1
Inositol phosphate metabolism	INPP4A	1
Inositol phosphate metabolism	INPP4B	1
Inositol phosphate metabolism	PIKFYVE	1
Inositol phosphate metabolism	FIG4	1
Inositol phosphate metabolism	PIP4K2C	1
Inositol phosphate metabolism	PIP4K2A	1
Inositol phosphate metabolism	PIP4K2B	1
Inositol phosphate metabolism	PLCB1	1
Inositol phosphate metabolism	PLCB2	1
Inositol phosphate metabolism	PLCB3	1
Inositol phosphate metabolism	PLCB4	1
Inositol phosphate metabolism	PLCD1	1
Inositol phosphate metabolism	PLCD3	1
Inositol phosphate metabolism	PLCD4	1
Inositol phosphate metabolism	PLCE1	1
Inositol phosphate metabolism	PLCG1	1
Inositol phosphate metabolism	PLCG2	1
Inositol phosphate metabolism	PLCZ1	1
Inositol phosphate metabolism	PLCH1	1
Inositol phosphate metabolism	PLCH2	1
Inositol phosphate metabolism	IMPA2	1
Inositol phosphate metabolism	IMPA1	1
Inositol phosphate metabolism	CDIPT	1
Inositol phosphate metabolism	ISYNA1	1
Inositol phosphate metabolism	INPP1	1
Inositol phosphate metabolism	INPP5A	1
Inositol phosphate metabolism	INPP5K	1
Inositol phosphate metabolism	INPP5J	1
Inositol phosphate metabolism	MINPP1	1
Inositol phosphate metabolism	ITPKB	1
Inositol phosphate metabolism	ITPKA	1
Inositol phosphate metabolism	ITPKC	1
Inositol phosphate metabolism	ITPK1	1
Inositol phosphate metabolism	IPMK	1
Inositol phosphate metabolism	IPPK	1
Inositol phosphate metabolism	MIOX	1
Inositol phosphate metabolism	ALDH6A1	1
Inositol phosphate metabolism	TPI1	1
Oxidative phosphorylation	ND1	1
Oxidative phosphorylation	ND2	1
Oxidative phosphorylation	ND3	1
Oxidative phosphorylation	ND4	1
Oxidative phosphorylation	ND4L	1
Oxidative phosphorylation	ND5	1
Oxidative phosphorylation	ND6	1
Oxidative phosphorylation	NDUFS1	1
Oxidative phosphorylation	NDUFS2	1
Oxidative phosphorylation	NDUFS3	1
Oxidative phosphorylation	NDUFS4	1
Oxidative phosphorylation	NDUFS5	1
Oxidative phosphorylation	NDUFS6	1
Oxidative phosphorylation	NDUFS7	1
Oxidative phosphorylation	NDUFS8	1
Oxidative phosphorylation	NDUFV1	1
Oxidative phosphorylation	NDUFV2	1
Oxidative phosphorylation	NDUFV3	1
Oxidative phosphorylation	NDUFA1	1
Oxidative phosphorylation	NDUFA2	1
Oxidative phosphorylation	NDUFA3	1
Oxidative phosphorylation	NDUFA4	1
Oxidative phosphorylation	NDUFA4L2	1
Oxidative phosphorylation	NDUFA5	1
Oxidative phosphorylation	NDUFA6	1
Oxidative phosphorylation	NDUFA7	1
Oxidative phosphorylation	NDUFA8	1
Oxidative phosphorylation	NDUFA9	1
Oxidative phosphorylation	NDUFA10	1
Oxidative phosphorylation	NDUFAB1	1
Oxidative phosphorylation	NDUFA11	1
Oxidative phosphorylation	NDUFA12	1
Oxidative phosphorylation	NDUFA13	1
Oxidative phosphorylation	NDUFB1	1
Oxidative phosphorylation	NDUFB2	1
Oxidative phosphorylation	NDUFB3	1
Oxidative phosphorylation	NDUFB4	1
Oxidative phosphorylation	NDUFB5	1
Oxidative phosphorylation	NDUFB6	1
Oxidative phosphorylation	NDUFB7	1
Oxidative phosphorylation	NDUFB8	1
Oxidative phosphorylation	NDUFB9	1
Oxidative phosphorylation	NDUFB10	1
Oxidative phosphorylation	NDUFB11	1
Oxidative phosphorylation	NDUFC1	1
Oxidative phosphorylation	NDUFC2	1
Oxidative phosphorylation	NDUFC2-KCTD14	1
Oxidative phosphorylation	SDHA	1
Oxidative phosphorylation	SDHB	1
Oxidative phosphorylation	SDHC	1
Oxidative phosphorylation	SDHD	1
Oxidative phosphorylation	UQCRFS1	1
Oxidative phosphorylation	CYTB	1
Oxidative phosphorylation	CYC1	1
Oxidative phosphorylation	UQCRC1	1
Oxidative phosphorylation	UQCRC2	1
Oxidative phosphorylation	UQCRH	1
Oxidative phosphorylation	UQCRHL	1
Oxidative phosphorylation	UQCRB	1
Oxidative phosphorylation	UQCRQ	1
Oxidative phosphorylation	UQCR10	1
Oxidative phosphorylation	UQCR11	1
Oxidative phosphorylation	COX10	1
Oxidative phosphorylation	COX3	1
Oxidative phosphorylation	COX1	1
Oxidative phosphorylation	COX2	1
Oxidative phosphorylation	COX4I2	1
Oxidative phosphorylation	COX4I1	1
Oxidative phosphorylation	COX5A	1
Oxidative phosphorylation	COX5B	1
Oxidative phosphorylation	COX6A1	1
Oxidative phosphorylation	COX6A2	1
Oxidative phosphorylation	COX6B1	1
Oxidative phosphorylation	COX6B2	1
Oxidative phosphorylation	COX6C	1
Oxidative phosphorylation	COX7A1	1
Oxidative phosphorylation	COX7A2	1
Oxidative phosphorylation	COX7A2L	1
Oxidative phosphorylation	COX7B	1
Oxidative phosphorylation	COX7B2	1
Oxidative phosphorylation	COX7C	1
Oxidative phosphorylation	COX8C	1
Oxidative phosphorylation	COX8A	1
Oxidative phosphorylation	COX11	1
Oxidative phosphorylation	COX15	1
Oxidative phosphorylation	COX17	1
Oxidative phosphorylation	ATP5F1A	1
Oxidative phosphorylation	ATP5F1B	1
Oxidative phosphorylation	ATP5F1C	1
Oxidative phosphorylation	ATP5F1D	1
Oxidative phosphorylation	ATP5F1E	1
Oxidative phosphorylation	ATP5PO	1
Oxidative phosphorylation	ATP6	1
Oxidative phosphorylation	ATP5PB	1
Oxidative phosphorylation	ATP5MC1	1
Oxidative phosphorylation	ATP5MC2	1
Oxidative phosphorylation	ATP5MC3	1
Oxidative phosphorylation	ATP5PD	1
Oxidative phosphorylation	ATP5ME	1
