Pathway	Gene	Input
Neuroactive ligand-receptor interaction	CRHR2	1
Neuroactive ligand-receptor interaction	GIP	1
Neuroactive ligand-receptor interaction	GIPR	1
Neuroactive ligand-receptor interaction	GCG	1
Neuroactive ligand-receptor interaction	GCGR	1
Neuroactive ligand-receptor interaction	GLP1R	1
Neuroactive ligand-receptor interaction	GLP2R	1
Neuroactive ligand-receptor interaction	GHRH	1
Neuroactive ligand-receptor interaction	GHRHR	1
Neuroactive ligand-receptor interaction	PTH	1
Neuroactive ligand-receptor interaction	PTH2	1
Neuroactive ligand-receptor interaction	PTH1R	1
Neuroactive ligand-receptor interaction	PTH2R	1
Neuroactive ligand-receptor interaction	ADCYAP1	1
Neuroactive ligand-receptor interaction	ADCYAP1R1	1
Neuroactive ligand-receptor interaction	SCT	1
Neuroactive ligand-receptor interaction	SCTR	1
Neuroactive ligand-receptor interaction	VIP	1
Neuroactive ligand-receptor interaction	VIPR1	1
Neuroactive ligand-receptor interaction	VIPR2	1
Neuroactive ligand-receptor interaction	GRM1	1
Neuroactive ligand-receptor interaction	GRM2	1
Neuroactive ligand-receptor interaction	GRM3	1
Neuroactive ligand-receptor interaction	GRM4	1
Neuroactive ligand-receptor interaction	GRM5	1
Neuroactive ligand-receptor interaction	GRM6	1
Neuroactive ligand-receptor interaction	GRM7	1
Neuroactive ligand-receptor interaction	GRM8	1
Neuroactive ligand-receptor interaction	GABBR1	1
Neuroactive ligand-receptor interaction	GABBR2	1
Neuroactive ligand-receptor interaction	GPR156	1
Neuroactive ligand-receptor interaction	GRIN1	1
Neuroactive ligand-receptor interaction	GRIN2A	1
Neuroactive ligand-receptor interaction	GRIN2B	1
Neuroactive ligand-receptor interaction	GRIN2C	1
Neuroactive ligand-receptor interaction	GRIN2D	1
Neuroactive ligand-receptor interaction	GRIN3A	1
Neuroactive ligand-receptor interaction	GRIN3B	1
Neuroactive ligand-receptor interaction	GABRA1	1
Neuroactive ligand-receptor interaction	GABRA2	1
Neuroactive ligand-receptor interaction	GABRA3	1
Neuroactive ligand-receptor interaction	GABRA4	1
Neuroactive ligand-receptor interaction	GABRA5	1
Neuroactive ligand-receptor interaction	GABRA6	1
Neuroactive ligand-receptor interaction	GABRB1	1
Neuroactive ligand-receptor interaction	GABRB3	1
Neuroactive ligand-receptor interaction	GABRB2	1
Neuroactive ligand-receptor interaction	GABRD	1
Neuroactive ligand-receptor interaction	GABRE	1
Neuroactive ligand-receptor interaction	GABRG1	1
Neuroactive ligand-receptor interaction	GABRG2	1
Neuroactive ligand-receptor interaction	GABRG3	1
Neuroactive ligand-receptor interaction	GABRP	1
Neuroactive ligand-receptor interaction	GABRR1	1
Neuroactive ligand-receptor interaction	GABRR2	1
Neuroactive ligand-receptor interaction	GABRR3	1
Neuroactive ligand-receptor interaction	GABRQ	1
Neuroactive ligand-receptor interaction	SLURP1	1
Neuroactive ligand-receptor interaction	SLURP2	1
Neuroactive ligand-receptor interaction	CHRNA1	1
Neuroactive ligand-receptor interaction	CHRNA2	1
Neuroactive ligand-receptor interaction	CHRNA3	1
Neuroactive ligand-receptor interaction	CHRNA4	1
Neuroactive ligand-receptor interaction	CHRNA5	1
Neuroactive ligand-receptor interaction	CHRNA6	1
Neuroactive ligand-receptor interaction	CHRNA7	1
Neuroactive ligand-receptor interaction	CHRNA9	1
Neuroactive ligand-receptor interaction	CHRNA10	1
Neuroactive ligand-receptor interaction	CHRNB1	1
Neuroactive ligand-receptor interaction	CHRNB2	1
Neuroactive ligand-receptor interaction	CHRNB3	1
Neuroactive ligand-receptor interaction	CHRNB4	1
Neuroactive ligand-receptor interaction	CHRND	1
Neuroactive ligand-receptor interaction	CHRNE	1
Neuroactive ligand-receptor interaction	CHRNG	1
Neuroactive ligand-receptor interaction	P2RX1	1
Neuroactive ligand-receptor interaction	P2RX2	1
Neuroactive ligand-receptor interaction	P2RX3	1
Neuroactive ligand-receptor interaction	P2RX4	1
Neuroactive ligand-receptor interaction	P2RX5	1
Neuroactive ligand-receptor interaction	P2RX7	1
Neuroactive ligand-receptor interaction	P2RX6	1
Neuroactive ligand-receptor interaction	GRIA1	1
Neuroactive ligand-receptor interaction	GRIA2	1
Neuroactive ligand-receptor interaction	GRIA3	1
Neuroactive ligand-receptor interaction	GRIA4	1
Neuroactive ligand-receptor interaction	GRIK1	1
Neuroactive ligand-receptor interaction	GRIK2	1
Neuroactive ligand-receptor interaction	GRIK3	1
Neuroactive ligand-receptor interaction	GRIK4	1
Neuroactive ligand-receptor interaction	GRIK5	1
Neuroactive ligand-receptor interaction	GRID1	1
Neuroactive ligand-receptor interaction	GRID2	1
Neuroactive ligand-receptor interaction	GLRA1	1
Neuroactive ligand-receptor interaction	GLRA2	1
Neuroactive ligand-receptor interaction	GLRA3	1
Neuroactive ligand-receptor interaction	GLRB	1
Neuroactive ligand-receptor interaction	TRPV1	1
Neuroactive ligand-receptor interaction	TSPO	1
Neuroactive ligand-receptor interaction	NR3C1	1
Neuroactive ligand-receptor interaction	GH1	1
Neuroactive ligand-receptor interaction	GH2	1
Neuroactive ligand-receptor interaction	CSH1	1
Neuroactive ligand-receptor interaction	CSH2	1
Neuroactive ligand-receptor interaction	GHR	1
Neuroactive ligand-receptor interaction	THRA	1
Neuroactive ligand-receptor interaction	THRB	1
Neuroactive ligand-receptor interaction	LEP	1
Neuroactive ligand-receptor interaction	LEPR	1
Neuroactive ligand-receptor interaction	PRL	1
Neuroactive ligand-receptor interaction	PRLR	1
Cytokine-cytokine receptor interaction	CCL1	1
Cytokine-cytokine receptor interaction	CCL25	1
Cytokine-cytokine receptor interaction	CCL19	1
Cytokine-cytokine receptor interaction	CCL21	1
Cytokine-cytokine receptor interaction	CCL3	1
Cytokine-cytokine receptor interaction	CCL3L1	1
Cytokine-cytokine receptor interaction	CCL3L3	1
Cytokine-cytokine receptor interaction	CCL4	1
Cytokine-cytokine receptor interaction	CCL4L2	1
Cytokine-cytokine receptor interaction	CCL4L1	1
Cytokine-cytokine receptor interaction	CCL17	1
Cytokine-cytokine receptor interaction	CCL22	1
Cytokine-cytokine receptor interaction	CCL5	1
Cytokine-cytokine receptor interaction	CCL8	1
Cytokine-cytokine receptor interaction	CCL14	1
Cytokine-cytokine receptor interaction	CCL16	1
Cytokine-cytokine receptor interaction	CCL15	1
Cytokine-cytokine receptor interaction	CCL23	1
Cytokine-cytokine receptor interaction	CCL13	1
Cytokine-cytokine receptor interaction	CCL7	1
Cytokine-cytokine receptor interaction	CCL2	1
Cytokine-cytokine receptor interaction	CCL11	1
Cytokine-cytokine receptor interaction	CCL24	1
Cytokine-cytokine receptor interaction	CCL26	1
Cytokine-cytokine receptor interaction	CCL27	1
Cytokine-cytokine receptor interaction	CCL28	1
Cytokine-cytokine receptor interaction	CCL18	1
Cytokine-cytokine receptor interaction	CCL20	1
Cytokine-cytokine receptor interaction	CXCL1	1
Cytokine-cytokine receptor interaction	CXCL2	1
Cytokine-cytokine receptor interaction	CXCL3	1
Cytokine-cytokine receptor interaction	CXCL5	1
Cytokine-cytokine receptor interaction	CXCL6	1
Cytokine-cytokine receptor interaction	CXCL8	1
Cytokine-cytokine receptor interaction	PPBP	1
Cytokine-cytokine receptor interaction	PF4	1
Cytokine-cytokine receptor interaction	PF4V1	1
Cytokine-cytokine receptor interaction	CXCL9	1
Cytokine-cytokine receptor interaction	CXCL10	1
Cytokine-cytokine receptor interaction	CXCL11	1
Cytokine-cytokine receptor interaction	CXCL13	1
Cytokine-cytokine receptor interaction	CXCL12	1
Cytokine-cytokine receptor interaction	CXCL16	1
Cytokine-cytokine receptor interaction	CXCL14	1
Cytokine-cytokine receptor interaction	CXCL17	1
Cytokine-cytokine receptor interaction	XCL1	1
Cytokine-cytokine receptor interaction	XCL2	1
Cytokine-cytokine receptor interaction	CX3CL1	1
Cytokine-cytokine receptor interaction	IL2	1
Cytokine-cytokine receptor interaction	IL4	1
Cytokine-cytokine receptor interaction	IL7	1
Cytokine-cytokine receptor interaction	IL9	1
Cytokine-cytokine receptor interaction	IL15	1
Cytokine-cytokine receptor interaction	IL21	1
Cytokine-cytokine receptor interaction	TSLP	1
Cytokine-cytokine receptor interaction	IL3	1
Cytokine-cytokine receptor interaction	IL5	1
Cytokine-cytokine receptor interaction	CSF2	1
Cytokine-cytokine receptor interaction	IL13	1
Cytokine-cytokine receptor interaction	EPO	1
Cytokine-cytokine receptor interaction	GH1	1
Cytokine-cytokine receptor interaction	GH2	1
Cytokine-cytokine receptor interaction	CSH1	1
Cytokine-cytokine receptor interaction	CSH2	1
Cytokine-cytokine receptor interaction	PRL	1
Cytokine-cytokine receptor interaction	THPO	1
Cytokine-cytokine receptor interaction	CSF3	1
Cytokine-cytokine receptor interaction	LEP	1
Cytokine-cytokine receptor interaction	IL6	1
Cytokine-cytokine receptor interaction	IL11	1
Cytokine-cytokine receptor interaction	IL12A	1
Cytokine-cytokine receptor interaction	IL12B	1
Cytokine-cytokine receptor interaction	IL23A	1
Cytokine-cytokine receptor interaction	IL27	1
Cytokine-cytokine receptor interaction	EBI3	1
Cytokine-cytokine receptor interaction	IL31	1
Cytokine-cytokine receptor interaction	CLCF1	1
Cytokine-cytokine receptor interaction	CNTF	1
Cytokine-cytokine receptor interaction	CTF1	1
Cytokine-cytokine receptor interaction	LIF	1
Cytokine-cytokine receptor interaction	OSM	1
Cytokine-cytokine receptor interaction	IL10	1
Cytokine-cytokine receptor interaction	IL19	1
Cytokine-cytokine receptor interaction	IL20	1
Cytokine-cytokine receptor interaction	IL24	1
Cytokine-cytokine receptor interaction	IL22	1
Cytokine-cytokine receptor interaction	IL26	1
Cytokine-cytokine receptor interaction	IFNL2	1
Cytokine-cytokine receptor interaction	IFNL3	1
Cytokine-cytokine receptor interaction	IFNL1	1
Cytokine-cytokine receptor interaction	IFNA1	1
Cytokine-cytokine receptor interaction	IFNA2	1
Cytokine-cytokine receptor interaction	IFNA4	1
Cytokine-cytokine receptor interaction	IFNA5	1
Cytokine-cytokine receptor interaction	IFNA6	1
Cytokine-cytokine receptor interaction	IFNA7	1
Cytokine-cytokine receptor interaction	IFNA8	1
Cytokine-cytokine receptor interaction	IFNA10	1
Cytokine-cytokine receptor interaction	IFNA13	1
Cytokine-cytokine receptor interaction	IFNA14	1
Cytokine-cytokine receptor interaction	IFNA16	1
Cytokine-cytokine receptor interaction	IFNA17	1
Cytokine-cytokine receptor interaction	IFNA21	1
Cytokine-cytokine receptor interaction	IFNB1	1
Cytokine-cytokine receptor interaction	IFNW1	1
Cytokine-cytokine receptor interaction	IFNK	1
Cytokine-cytokine receptor interaction	IFNE	1
Cytokine-cytokine receptor interaction	IFNG	1
Cytokine-cytokine receptor interaction	IL1A	1
Cytokine-cytokine receptor interaction	IL1B	1
Cytokine-cytokine receptor interaction	IL1RN	1
Cytokine-cytokine receptor interaction	IL36RN	1
Cytokine-cytokine receptor interaction	IL36A	1
Cytokine-cytokine receptor interaction	IL36B	1
Cytokine-cytokine receptor interaction	IL36G	1
Cytokine-cytokine receptor interaction	IL1F10	1
Cytokine-cytokine receptor interaction	IL37	1
Cytokine-cytokine receptor interaction	IL18	1
Cytokine-cytokine receptor interaction	IL33	1
Cytokine-cytokine receptor interaction	IL17A	1
Cytokine-cytokine receptor interaction	IL17F	1
Cytokine-cytokine receptor interaction	IL17B	1
Cytokine-cytokine receptor interaction	IL17C	1
Cytokine-cytokine receptor interaction	IL17D	1
Cytokine-cytokine receptor interaction	IL25	1
Cytokine-cytokine receptor interaction	IL16	1
Cytokine-cytokine receptor interaction	IL32	1
Cytokine-cytokine receptor interaction	IL34	1
Cytokine-cytokine receptor interaction	CSF1	1
Cytokine-cytokine receptor interaction	TNF	1
Cytokine-cytokine receptor interaction	LTA	1
Cytokine-cytokine receptor interaction	LTB	1
Cytokine-cytokine receptor interaction	TNFSF14	1
Cytokine-cytokine receptor interaction	FASLG	1
Cytokine-cytokine receptor interaction	TNFSF15	1
Cytokine-cytokine receptor interaction	TNFSF10	1
Cytokine-cytokine receptor interaction	EDA	1
Cytokine-cytokine receptor interaction	NGF	1
Cytokine-cytokine receptor interaction	TNFSF11	1
Cytokine-cytokine receptor interaction	TNFSF12	1
Cytokine-cytokine receptor interaction	CD70	1
Cytokine-cytokine receptor interaction	TNFSF8	1
Cytokine-cytokine receptor interaction	CD40LG	1
Cytokine-cytokine receptor interaction	TNFSF9	1
Cytokine-cytokine receptor interaction	TNFSF4	1
Cytokine-cytokine receptor interaction	TNFSF18	1
Cytokine-cytokine receptor interaction	TNFSF13	1
Cytokine-cytokine receptor interaction	TNFSF13B	1
Cytokine-cytokine receptor interaction	TGFB1	1
Cytokine-cytokine receptor interaction	TGFB2	1
Cytokine-cytokine receptor interaction	TGFB3	1
Cytokine-cytokine receptor interaction	GDF15	1
Cytokine-cytokine receptor interaction	GDF2	1
Cytokine-cytokine receptor interaction	BMP10	1
Cytokine-cytokine receptor interaction	INHA	1
Cytokine-cytokine receptor interaction	BMP3	1
Cytokine-cytokine receptor interaction	GDF10	1
Cytokine-cytokine receptor interaction	GDF11	1
Cytokine-cytokine receptor interaction	MSTN	1
Cytokine-cytokine receptor interaction	INHBA	1
Cytokine-cytokine receptor interaction	INHBB	1
Cytokine-cytokine receptor interaction	GDF1	1
Cytokine-cytokine receptor interaction	GDF3	1
Cytokine-cytokine receptor interaction	NODAL	1
Cytokine-cytokine receptor interaction	GDF9	1
Cytokine-cytokine receptor interaction	INHBC	1
Cytokine-cytokine receptor interaction	INHBE	1
Cytokine-cytokine receptor interaction	AMH	1
Cytokine-cytokine receptor interaction	BMP2	1
Cytokine-cytokine receptor interaction	BMP4	1
Cytokine-cytokine receptor interaction	GDF5	1
Cytokine-cytokine receptor interaction	GDF6	1
Cytokine-cytokine receptor interaction	GDF7	1
Cytokine-cytokine receptor interaction	BMP15	1
Cytokine-cytokine receptor interaction	BMP5	1
Cytokine-cytokine receptor interaction	BMP6	1
Cytokine-cytokine receptor interaction	BMP7	1
Cytokine-cytokine receptor interaction	BMP8B	1
Cytokine-cytokine receptor interaction	BMP8A	1
Cytokine-cytokine receptor interaction	CCR8	1
Cytokine-cytokine receptor interaction	CCR9	1
Cytokine-cytokine receptor interaction	ACKR4	1
Cytokine-cytokine receptor interaction	CCR7	1
Cytokine-cytokine receptor interaction	CCR4	1
Cytokine-cytokine receptor interaction	CCR5	1
Cytokine-cytokine receptor interaction	CCR3	1
Cytokine-cytokine receptor interaction	CCR2	1
Cytokine-cytokine receptor interaction	CCR1	1
Cytokine-cytokine receptor interaction	CCR10	1
Cytokine-cytokine receptor interaction	CCR6	1
Cytokine-cytokine receptor interaction	CXCR1	1
Cytokine-cytokine receptor interaction	CXCR2	1
Cytokine-cytokine receptor interaction	CXCR3	1
Cytokine-cytokine receptor interaction	CXCR5	1
Cytokine-cytokine receptor interaction	CXCR4	1
Cytokine-cytokine receptor interaction	ACKR3	1
Cytokine-cytokine receptor interaction	CXCR6	1
Cytokine-cytokine receptor interaction	XCR1	1
Cytokine-cytokine receptor interaction	CX3CR1	1
Cytokine-cytokine receptor interaction	IL2RA	1
Cytokine-cytokine receptor interaction	IL2RB	1
Cytokine-cytokine receptor interaction	IL2RG	1
Cytokine-cytokine receptor interaction	IL4R	1
Cytokine-cytokine receptor interaction	IL7R	1
Cytokine-cytokine receptor interaction	IL9R	1
Cytokine-cytokine receptor interaction	IL15RA	1
Cytokine-cytokine receptor interaction	IL21R	1
Cytokine-cytokine receptor interaction	CRLF2	1
Cytokine-cytokine receptor interaction	IL3RA	1
Cytokine-cytokine receptor interaction	CSF2RB	1
Cytokine-cytokine receptor interaction	IL5RA	1
Cytokine-cytokine receptor interaction	CSF2RA	1
Cytokine-cytokine receptor interaction	IL13RA1	1
Cytokine-cytokine receptor interaction	IL13RA2	1
Cytokine-cytokine receptor interaction	EPOR	1
Cytokine-cytokine receptor interaction	GHR	1
Cytokine-cytokine receptor interaction	PRLR	1
Cytokine-cytokine receptor interaction	MPL	1
Cytokine-cytokine receptor interaction	CSF3R	1
Cytokine-cytokine receptor interaction	LEPR	1
Cytokine-cytokine receptor interaction	IL6R	1
Cytokine-cytokine receptor interaction	IL6ST	1
Cytokine-cytokine receptor interaction	IL11RA	1
Cytokine-cytokine receptor interaction	IL12RB1	1
Cytokine-cytokine receptor interaction	IL12RB2	1
Cytokine-cytokine receptor interaction	IL23R	1
Cytokine-cytokine receptor interaction	IL27RA	1
Cytokine-cytokine receptor interaction	IL31RA	1
Cytokine-cytokine receptor interaction	CNTFR	1
Cytokine-cytokine receptor interaction	LIFR	1
Cytokine-cytokine receptor interaction	OSMR	1
Cytokine-cytokine receptor interaction	IL10RA	1
Cytokine-cytokine receptor interaction	IL10RB	1
Cytokine-cytokine receptor interaction	IL20RA	1
Cytokine-cytokine receptor interaction	IL20RB	1
Cytokine-cytokine receptor interaction	IL22RA1	1
Cytokine-cytokine receptor interaction	IFNLR1	1
Cytokine-cytokine receptor interaction	IFNAR1	1
Cytokine-cytokine receptor interaction	IFNAR2	1
Cytokine-cytokine receptor interaction	IFNGR1	1
Cytokine-cytokine receptor interaction	IFNGR2	1
Cytokine-cytokine receptor interaction	IL1R1	1
Cytokine-cytokine receptor interaction	IL1RAP	1
Cytokine-cytokine receptor interaction	IL1R2	1
Cytokine-cytokine receptor interaction	IL1RL2	1
Cytokine-cytokine receptor interaction	IL18R1	1
Cytokine-cytokine receptor interaction	IL18RAP	1
Cytokine-cytokine receptor interaction	IL1RL1	1
Cytokine-cytokine receptor interaction	IL17RA	1
Cytokine-cytokine receptor interaction	IL17RC	1
Cytokine-cytokine receptor interaction	IL17RB	1
Cytokine-cytokine receptor interaction	IL17RE	1
Cytokine-cytokine receptor interaction	CD4	1
Cytokine-cytokine receptor interaction	CSF1R	1
Cytokine-cytokine receptor interaction	TNFRSF1A	1
Cytokine-cytokine receptor interaction	TNFRSF1B	1
Cytokine-cytokine receptor interaction	LTBR	1
Cytokine-cytokine receptor interaction	TNFRSF14	1
Cytokine-cytokine receptor interaction	TNFRSF6B	1
Cytokine-cytokine receptor interaction	FAS	1
Cytokine-cytokine receptor interaction	TNFRSF25	1
Cytokine-cytokine receptor interaction	TNFRSF10A	1
Cytokine-cytokine receptor interaction	TNFRSF10B	1
Cytokine-cytokine receptor interaction	TNFRSF10C	1
Cytokine-cytokine receptor interaction	TNFRSF10D	1
Cytokine-cytokine receptor interaction	TNFRSF21	1
Cytokine-cytokine receptor interaction	EDAR	1
Cytokine-cytokine receptor interaction	EDA2R	1
Cytokine-cytokine receptor interaction	NGFR	1
Cytokine-cytokine receptor interaction	TNFRSF11B	1
Cytokine-cytokine receptor interaction	TNFRSF11A	1
Cytokine-cytokine receptor interaction	TNFRSF12A	1
Cytokine-cytokine receptor interaction	CD27	1
Cytokine-cytokine receptor interaction	TNFRSF8	1
Cytokine-cytokine receptor interaction	CD40	1
Cytokine-cytokine receptor interaction	TNFRSF9	1
Cytokine-cytokine receptor interaction	TNFRSF4	1
Cytokine-cytokine receptor interaction	TNFRSF18	1
Cytokine-cytokine receptor interaction	TNFRSF17	1
Cytokine-cytokine receptor interaction	TNFRSF13B	1
Cytokine-cytokine receptor interaction	TNFRSF13C	1
Cytokine-cytokine receptor interaction	TNFRSF19	1
Cytokine-cytokine receptor interaction	RELT	1
Cytokine-cytokine receptor interaction	TGFBR1	1
Cytokine-cytokine receptor interaction	TGFBR2	1
Cytokine-cytokine receptor interaction	ACVRL1	1
Cytokine-cytokine receptor interaction	ACVR2A	1
Cytokine-cytokine receptor interaction	BMPR2	1
Cytokine-cytokine receptor interaction	ACVR2B	1
Cytokine-cytokine receptor interaction	ACVR1B	1
Cytokine-cytokine receptor interaction	ACVR1C	1
Cytokine-cytokine receptor interaction	ACVR1	1
Cytokine-cytokine receptor interaction	AMHR2	1
Cytokine-cytokine receptor interaction	BMPR1A	1
Cytokine-cytokine receptor interaction	BMPR1B	1
Viral protein interaction with cytokine and cytokine receptor	CCL5	1
Viral protein interaction with cytokine and cytokine receptor	CCL3	1
Viral protein interaction with cytokine and cytokine receptor	CCL3L1	1
Viral protein interaction with cytokine and cytokine receptor	CCL3L3	1
Viral protein interaction with cytokine and cytokine receptor	CCL8	1
Viral protein interaction with cytokine and cytokine receptor	CCL14	1
Viral protein interaction with cytokine and cytokine receptor	CCL16	1
Viral protein interaction with cytokine and cytokine receptor	CCL15	1
Viral protein interaction with cytokine and cytokine receptor	CCL23	1
Viral protein interaction with cytokine and cytokine receptor	CCL13	1
Viral protein interaction with cytokine and cytokine receptor	CCL7	1
Viral protein interaction with cytokine and cytokine receptor	CCL2	1
Viral protein interaction with cytokine and cytokine receptor	CCL27	1
Viral protein interaction with cytokine and cytokine receptor	CCL11	1
Viral protein interaction with cytokine and cytokine receptor	CCL24	1
Viral protein interaction with cytokine and cytokine receptor	CCL26	1
Viral protein interaction with cytokine and cytokine receptor	CCL28	1
Viral protein interaction with cytokine and cytokine receptor	CCL17	1
Viral protein interaction with cytokine and cytokine receptor	CCL22	1
Viral protein interaction with cytokine and cytokine receptor	CCL4	1
Viral protein interaction with cytokine and cytokine receptor	CCL4L2	1
Viral protein interaction with cytokine and cytokine receptor	CCL4L1	1
Viral protein interaction with cytokine and cytokine receptor	CCL20	1
Viral protein interaction with cytokine and cytokine receptor	CCL1	1
Viral protein interaction with cytokine and cytokine receptor	CCL25	1
Viral protein interaction with cytokine and cytokine receptor	CCL18	1
Viral protein interaction with cytokine and cytokine receptor	CCL19	1
Viral protein interaction with cytokine and cytokine receptor	CCL21	1
Viral protein interaction with cytokine and cytokine receptor	CXCL1	1
Viral protein interaction with cytokine and cytokine receptor	CXCL2	1
Viral protein interaction with cytokine and cytokine receptor	CXCL3	1
Viral protein interaction with cytokine and cytokine receptor	CXCL5	1
Viral protein interaction with cytokine and cytokine receptor	CXCL6	1
Viral protein interaction with cytokine and cytokine receptor	CXCL8	1
Viral protein interaction with cytokine and cytokine receptor	PPBP	1
Viral protein interaction with cytokine and cytokine receptor	PF4	1
Viral protein interaction with cytokine and cytokine receptor	PF4V1	1
Viral protein interaction with cytokine and cytokine receptor	CXCL9	1
Viral protein interaction with cytokine and cytokine receptor	CXCL10	1
Viral protein interaction with cytokine and cytokine receptor	CXCL11	1
Viral protein interaction with cytokine and cytokine receptor	CXCL13	1
Viral protein interaction with cytokine and cytokine receptor	CXCL12	1
Viral protein interaction with cytokine and cytokine receptor	CXCL14	1
Viral protein interaction with cytokine and cytokine receptor	XCL1	1
Viral protein interaction with cytokine and cytokine receptor	XCL2	1
Viral protein interaction with cytokine and cytokine receptor	CX3CL1	1
Viral protein interaction with cytokine and cytokine receptor	IL10	1
Viral protein interaction with cytokine and cytokine receptor	IL6	1
Viral protein interaction with cytokine and cytokine receptor	IL2	1
Viral protein interaction with cytokine and cytokine receptor	IL18	1
Viral protein interaction with cytokine and cytokine receptor	IL37	1
Viral protein interaction with cytokine and cytokine receptor	IL19	1
Viral protein interaction with cytokine and cytokine receptor	IL20	1
Viral protein interaction with cytokine and cytokine receptor	IL24	1
Viral protein interaction with cytokine and cytokine receptor	TNF	1
Viral protein interaction with cytokine and cytokine receptor	LTA	1
Viral protein interaction with cytokine and cytokine receptor	TNFSF14	1
Viral protein interaction with cytokine and cytokine receptor	TNFSF10	1
Viral protein interaction with cytokine and cytokine receptor	IL34	1
Viral protein interaction with cytokine and cytokine receptor	CSF1	1
Viral protein interaction with cytokine and cytokine receptor	CCR1	1
Viral protein interaction with cytokine and cytokine receptor	CCR2	1
Viral protein interaction with cytokine and cytokine receptor	CCR3	1
Viral protein interaction with cytokine and cytokine receptor	CCR4	1
Viral protein interaction with cytokine and cytokine receptor	CCR5	1
Viral protein interaction with cytokine and cytokine receptor	CCR6	1
Viral protein interaction with cytokine and cytokine receptor	CCR8	1
Viral protein interaction with cytokine and cytokine receptor	CCR9	1
Viral protein interaction with cytokine and cytokine receptor	ACKR4	1
Viral protein interaction with cytokine and cytokine receptor	CCR10	1
Viral protein interaction with cytokine and cytokine receptor	CCR7	1
Viral protein interaction with cytokine and cytokine receptor	CXCR1	1
Viral protein interaction with cytokine and cytokine receptor	CXCR2	1
Viral protein interaction with cytokine and cytokine receptor	CXCR3	1
Viral protein interaction with cytokine and cytokine receptor	CXCR5	1
Viral protein interaction with cytokine and cytokine receptor	CXCR4	1
Viral protein interaction with cytokine and cytokine receptor	ACKR3	1
Viral protein interaction with cytokine and cytokine receptor	XCR1	1
Viral protein interaction with cytokine and cytokine receptor	CX3CR1	1
Viral protein interaction with cytokine and cytokine receptor	IL10RA	1
Viral protein interaction with cytokine and cytokine receptor	IL10RB	1
Viral protein interaction with cytokine and cytokine receptor	IL6R	1
Viral protein interaction with cytokine and cytokine receptor	IL6ST	1
Viral protein interaction with cytokine and cytokine receptor	IL2RA	1
Viral protein interaction with cytokine and cytokine receptor	IL2RB	1
Viral protein interaction with cytokine and cytokine receptor	IL2RG	1
Viral protein interaction with cytokine and cytokine receptor	IL18R1	1
Viral protein interaction with cytokine and cytokine receptor	IL18RAP	1
Viral protein interaction with cytokine and cytokine receptor	IL20RA	1
Viral protein interaction with cytokine and cytokine receptor	IL20RB	1
Viral protein interaction with cytokine and cytokine receptor	IL22RA1	1
Viral protein interaction with cytokine and cytokine receptor	TNFRSF1A	1
Viral protein interaction with cytokine and cytokine receptor	TNFRSF1B	1
Viral protein interaction with cytokine and cytokine receptor	LTBR	1
Viral protein interaction with cytokine and cytokine receptor	TNFRSF14	1
Viral protein interaction with cytokine and cytokine receptor	TNFRSF10A	1
Viral protein interaction with cytokine and cytokine receptor	TNFRSF10B	1
Viral protein interaction with cytokine and cytokine receptor	TNFRSF10C	1
Viral protein interaction with cytokine and cytokine receptor	TNFRSF10D	1
Viral protein interaction with cytokine and cytokine receptor	CSF1R	1
ECM-receptor interaction	COL1A1	1
ECM-receptor interaction	COL1A2	1
ECM-receptor interaction	COL2A1	1
ECM-receptor interaction	COL4A2	1
ECM-receptor interaction	COL4A4	1
ECM-receptor interaction	COL4A6	1
ECM-receptor interaction	COL4A1	1
ECM-receptor interaction	COL4A5	1
ECM-receptor interaction	COL4A3	1
ECM-receptor interaction	COL6A1	1
ECM-receptor interaction	COL6A2	1
ECM-receptor interaction	COL6A3	1
ECM-receptor interaction	COL6A6	1
ECM-receptor interaction	COL6A5	1
ECM-receptor interaction	COL9A1	1
ECM-receptor interaction	COL9A2	1
ECM-receptor interaction	COL9A3	1
ECM-receptor interaction	LAMA1	1
ECM-receptor interaction	LAMA2	1
ECM-receptor interaction	LAMA3	1
ECM-receptor interaction	LAMA5	1
ECM-receptor interaction	LAMA4	1
ECM-receptor interaction	LAMB1	1
ECM-receptor interaction	LAMB2	1
ECM-receptor interaction	LAMB3	1
ECM-receptor interaction	LAMB4	1
ECM-receptor interaction	LAMC1	1
ECM-receptor interaction	LAMC2	1
ECM-receptor interaction	LAMC3	1
ECM-receptor interaction	CHAD	1
ECM-receptor interaction	RELN	1
ECM-receptor interaction	THBS1	1
ECM-receptor interaction	COMP	1
ECM-receptor interaction	THBS2	1
ECM-receptor interaction	THBS3	1
ECM-receptor interaction	THBS4	1
ECM-receptor interaction	FN1	1
ECM-receptor interaction	SPP1	1
ECM-receptor interaction	VTN	1
ECM-receptor interaction	TNC	1
ECM-receptor interaction	TNN	1
ECM-receptor interaction	TNR	1
ECM-receptor interaction	TNXB	1
ECM-receptor interaction	NPNT	1
ECM-receptor interaction	FRAS1	1
ECM-receptor interaction	FREM2	1
ECM-receptor interaction	FREM1	1
ECM-receptor interaction	DSPP	1
ECM-receptor interaction	VWF	1
ECM-receptor interaction	IBSP	1
ECM-receptor interaction	DMP1	1
ECM-receptor interaction	AGRN	1
ECM-receptor interaction	HSPG2	1
ECM-receptor interaction	ITGA1	1
